,username,age,profile_description,date,review_content,usage_period,purchase_point,recommend
62,babyla,18 and Under,"Oily, Medium Dark, Cool",18 Jul 2024,"bantu nge calming jerawat, teksturnya ringan banget, tidak lengket sama sekali, harganya juga murah meriah pas untuk remajaaa, yang jerawat kemeran langsung reda bagusss bangett Top bangett produk nyaa, wajib banget dibeliiii guysss!!!",1 month - 3 months,Indomaret,babyla recommends this product!
63,AbiyazkaZahra,30 - 34,"Dry, Light, Neutral",12 Jul 2024,"Sudah habis tube ketiga. Azarine Calm My Acne ini sunscreen khusus untuk kulit berjerawat. Kebetulan pas pakai ini kulit saya lagi sensitif dan dehidrasi. Alhamdulillah pakai ini ngga memperparah kondisi kulit saya. Finishnya berasa lembab, light, ga whitecast dan ngga lengket.",3 months - 6 months,Sephora,AbiyazkaZahra recommends this product!
64,Dindaaprs22,19 - 24,"Combination, Medium, Neutral",07 Jul 2024,"Chemical sunscreen pertama ku yang i love it bangetttt, ini suncreen bener bener mantul. Memperbaiki skin barier juga + ga bikin kusem. Cocok nih kalau mau samaan kaya akuu. Ini juga kantong pelajar friendly bgtttt",1 month - 3 months,Female Daily Studio,Dindaaprs22 recommends this product!
65,dewinuurr,19 - 24,"Normal, Medium, Neutral",07 Jul 2024,"Pakai sunscreen bisa melembapkan kulit dan salah satu skin preparation yang ga boleh ketinggalan. Selama penggunaan hampir lebih dari 6 bulan ini, rasanya cocok, tidak lengket, cepat meresap, dan tidak meninggal whitecast atau pun perih ketika kena mata",3 months - 6 months,Shopee,dewinuurr recommends this product!
66,Alfinda98,25 - 29,",25 - 29",06 Jul 2024,"Udah nyoba beberapa produk tapi yang cocok di muka aku yg berminyak dan jerawat baru azarine ini, udah habis beberapa tube selalu repurchase, selalu banyak promo nya juga, best banget pokonya produk yang ini… supersuper worth to buy guys.",1 month - 3 months,Instagram,Alfinda98 recommends this product!
67,MichelleLouiss_,19 - 24,"Combination, Medium, Warm",06 Jul 2024,Dariii duluu aku udah pakaii produk ini emangg sebagus ituuu cinta bangett belum beralihh sampai sekarangg rekomendett bangettt akuu selaluu pakaii pagiii terus reapllay lagii siangg wajib bangett kaliann cobaa jangann lupaa yaaaa topp,More than 1 year,Buy (Mutiara),MichelleLouiss_ recommends this product!
68,hasnasyifataqiyya,18 and Under,"Oily, Medium, Neutral",06 Jul 2024,Sunscreen azarine recomended banget untuk kulit yang sangat berminyak tidak bikin wajah jadi lepek karena waktu di pakai langsung menyerap ke wajah dan sangat ringan. Udah pakai ini selama dua tahun harganya juga sangat terjangkau untuk kantong pelajar,More than 1 year,Shopee,hasnasyifataqiyya recommends this product!
69,QA31ANN7,18 and Under,"Combination, Medium Dark, Cool",06 Jul 2024,"bagus bgtt buat acne skin, dia tuh cooling gitu waktu dipakee. cocok juga buat base make up, dan nenangin jerawat jerawat membandel pls. ngga terlalu cepet nyerap sih, tapi enakk. Harganya juga sangat amat worth it pls, recommended sihh.",3 months - 6 months,Shopee,QA31ANN7 recommends this product!
70,KurniaDP,25 - 29,"Combination, Medium Light, Neutral",06 Jul 2024,"Buat aku acne fighter wajib banget pake ini, teksturnya gak bikin oily, kayak gel dan gampang banget ngresep, udah make bertahun-tahun pernah coba pindah ke lain hati tetap balik lagi, harga masuk banget dikantong pelajar, ga bikin boross, mantap jiwa",More than 1 year,Shopee,KurniaDP recommends this product!
71,ameliaaputri,19 - 24,"Oily, Medium Light, Neutral",06 Jul 2024,"Pake ini krna pengen nyoba soalnya aku cocok sunscreen pertama nya mereka, teksturnya ringan ga terlalu encer di kulitku yg oily jg enak ga bikin minyakan, ga minbulin reaksi negatif juga pokoknya aman buat kulitku next bakal cobain sunscreen mereka yg lain. Bakal aku repurchase terus sih good job azarine❤",6 months - 1 year,Lazada,ameliaaputri recommends this product!
72,aprilianapuji74,25 - 29,",25 - 29",06 Jul 2024,"Produk kecintaan banget bagus buat kuat oily dan gampang jerawat kayak aku. Bisa dipake tiap hari dan ringan banget gak berat apalagi lengket. Cocok jg buat remaja. Harganya juga ramah di kantong nggak bikin boncos, pasti Repuchase guyss",3 months - 6 months,Shopee,aprilianapuji74 recommends this product!
73,ailaiin,30 - 34,"Combination, Medium, Neutral",05 Jul 2024,"Sunscreen yang cocok dengan kulit jerawat aku, yang aku kali kembali beli. Teksturnya krim puyih lembut dan bagus untuk wajah ku yang oly dan berminyak. Biasanya ku gunakan pagi dan sore dan didalam ruangan ber ac juga. Tidak ada efek sampinf yang buruk di wqjah ku berjerawat dan berminyak",3 months - 6 months,Traditional Market,ailaiin recommends this product!
74,diahrosella,25 - 29,",25 - 29",05 Jul 2024,Tektur nya bagus gak terlalu encer tidak terlalu kental cocok untuk kulit berjerawat dan cenderungg berminyak. Dipakai seharian tidak membuat kulit lengket dan sangat rekomended bagi pekerja diruang ber ac karena tetap kena paparan sih hehee,6 months - 1 year,Watson,diahrosella recommends this product!
75,dinda13,19 - 24,"Combination, Medium Dark, Warm",05 Jul 2024,"Pertama coba tuh iseng karena harganya affordable, ternyata cocokkk buat kulit aku yang kombinasi oily dan juga acne prone, setelah habisin 1 botol alhamdulillah jerawat dan komedo aku lumayan kurang mungkin karena spf 35 yang cocok buat kulit berjerawat, sampe sekarang masih sering repurchase",3 months - 6 months,Shopee,dinda13 recommends this product!
76,Eyzee,19 - 24,"Oily, Light, Neutral",05 Jul 2024,"Gila banget sih ini sunscreen dari Azarine!!! As someone yang punya kulit yang berminyak, punya banyak kemerahan, plus rentan berjerawat, produk satu ini tuh bener-bener bisa calming the redness on my face dan ga bikin kulit gw yang berjerawat tambah parah. Teksturnya tuh gel yang ringan and easily absorb into the skin. Definitely recommend it!",1 week - 1 month,Tokopedia,Eyzee recommends this product!
77,Hasa,19 - 24,"Oily, Medium Light, Cool",05 Jul 2024,"Klo aktivitasnya lebih banyak di indoor aku lebih suka pake sunscreen yg spf nya 35 gini. Sunscreen azarine yg ini ngasih feel dingin after pemakaian, aman juga dikulit berjerawat, nahan minyak juga jadi cocokyg tipe kulit oily, yg penting ga bikin kusam",6 months - 1 year,Shopee,Hasa recommends this product!
78,flazia,25 - 29,"Oily, Medium Dark, Neutral",05 Jul 2024,"Setelah berulang kali coba-coba sunscreen yang cocok buat kulit saya yang acne prone, akhirnya ketemu juga pilihan yang pas. Pakai sunscreen calm my acne ini memang sesuai banget sama namanya, nggak bikin jerawatan dan melindungi dari sinar UV. Sukakk banget!",6 months - 1 year,Shopee,flazia recommends this product!
79,bunga_pasadena,19 - 24,"Combination, Medium, Neutral",04 Jul 2024,Oke banget sunscreen ini untuk combination skin. Teksturnya lebih ringan dari yang varian orange. Sepertinya aku merasa lebih cocok dengan spf yang ga terlalu tinggi. Pake yang orange spf 50 malah jadi kusem + menggelap. Pake yang ini lebih cerah. Lumayan mengontrol minyak juga sih varian ini. Recommended buat daily karena teksturnya sangat sangat ringan kayak ga pake apa-apa,1 week - 1 month,Lazada,bunga_pasadena recommends this product!
80,ainayaalfthh,19 - 24,",19 - 24",04 Jul 2024,"Sunscreennya best bgttt, ngga ada whitecast di aku, rasanya ringan, melindungi juga, simple karna udah ada moisturizernya jadi bikin lembab kulit, mudah buat diblend, ngga lengket, hasilnya mate bgt love, ngga oily buat combination skin kayak aku!❤️",3 months - 6 months,Shopee,ainayaalfthh recommends this product!
81,ayaarvy,19 - 24,",19 - 24",03 Jul 2024,"bagus sih terutama buat kulitku yg oily skin, ringan kaya ga pake apa apa pas udah nge set. dipake setelah makeup juga aman aja. cuman gatau knapa ntah mukaku yg sensitif apa gmn tapi pas baru di apply kaya agak nyekit gitu di area hidung ke pipi",Less than 1 week,Official Brand Store,ayaarvy recommends this product!
82,Emadwi27,19 - 24,"Oily, Medium Dark, Warm",02 Jul 2024,"Sejauh ini dipake di kulitku yg oily acne prone, aman ga ada rasa cekit-cekit gitu. Tapi minus nya gampang peeling, make up ikut longsor kadang, jadi aku ga pernah pake ss azarine ini sebelum pake make up.",6 months - 1 year,Shopee,Emadwi27 recommends this product!
83,fadhilah_01,25 - 29,"Normal, Medium Light, Neutral",02 Jul 2024,"Bagus ga lengket, menyerap ke kulit. Ga dempul jugaMengcover wajah scr maksimal. Di kulit jadi lembab. Suka bangett Bener-bener melindungi wajah dr paparan sinar UV. Wajah ku jd lbh tenang ga merah lagi",6 months - 1 year,Traditional Market,fadhilah_01 recommends this product!
84,Mirnasilvi,25 - 29,"Oily, Medium Light, Cool",02 Jul 2024,"Salah sayu sunscreen murah meriah yang bentukannya gel tidak bening tidak pekat tapi aman sekaliii buat kulitku yang super oily ini, ga perlu pake moist juga udah aman karna ada kandungan lembabinnyaaa , suka banget sama sunscreen modelan begini sihh",More than 1 year,Shopee,Mirnasilvi recommends this product!
85,anisplestari,30 - 34,"Oily, Medium, Neutral",01 Jul 2024,"untuk kulit saya yang oily acne prone ini sunscreen mantap , bisa meng calming jerawat ,cepat meresap dan tidak white cast, kalau di saya tidak perlu pakai moisturizer lagi dengan sunscreen ini sdah cukup lembab, pokoknya recommended bgt",1 month - 3 months,Tokopedia,anisplestari recommends this product!
86,njipaw,18 and Under,"Oily, Medium Light, Neutral",28 Jun 2024,"aku udah lumayan lama make sunscreen ini, setelah sebelumnya aku make sunscreen skinaqua yang biru, menurutku di kulitku yang jerawatan dan minyakan ini cukup cocok sih tapi kadang kalau udah siang tbtb mukaku jadi kilang minyak duhhh, ada yang punya rekomendasi sunscreen yang oke ga buat kulit yang minyakan parahhhh dan juga jerawatannnn??? thank you ya 🖐🏻💟",3 months - 6 months,Shopee,njipaw recommends this product!
87,heerraa,19 - 24,"Combination, Medium Light, Neutral",28 Jun 2024,"Ini sunscreen ternyaman buat aku, udah cocok banget pake ini... Gampang di blend dan cepet menyerap. Nggak lengket lagi, diaku si nggak bikin berminyak wenak poll. Aku suka bawa kemana mana, soalnya klo mau reaply ga pake nunggu lama buat meresap",More than 1 year,Shopee,heerraa recommends this product!
88,acdiety,19 - 24,"Oily, Medium, Neutral",26 Jun 2024,sumpahhh ini ss palingggg palinggg pass setelah sekian lama gonta ganti ss wkwk. baguss bangettttttttt. cocok diaku yg tipe kulitnya oily + jerawat on off. anw aku udah abis hampir 10 tube karena emang sebagus itu T____T. <3,3 months - 6 months,Shopee,acdiety recommends this product!
89,ashila23,18 and Under,"Oily, Medium Dark, Neutral",23 Jun 2024,BAGUSS BANGETTT ASLII INI SS BUAT OILY ACNE PRONE. aku udah habis lebih dari 5 tube dan sebagus ituu plsss. aku dulu ada closed comedo sama banyak jerawat tapi pake ss ini lama kelamaan lumayan hilang donggg.,3 months - 6 months,Indomaret,ashila23 recommends this product!
90,Zillaskin,18 and Under,"Combination, Medium Light, Neutral",23 Jun 2024,"BUAT OILY SKIN YANG GAMPANG JERAWATAN, SINI LU SEMUA! karena teksturnya tuh enak banget, diblendnya enak, gak bikin perih di mata, gak gerah juga seharian, gak whitecast, bikin kalem jerawat saya, nahan minyak lumayan lah. I'm in love lah buat sunscreen ini. Fix kalian harus coba.",1 week - 1 month,Instagram,Zillaskin recommends this product!
91,Eli0102,40 - 44,"Oily, Medium Light, Cool",23 Jun 2024,"Sunscreen yang bisa bantu atasin jerawat asalkan rutin. Bisa buat all skin type tapi lebih bagus buat oily skin, karena oil controlnya bagus banget. Teksturnya gel, ringan dan cepat meresap. Finishnya matte dan ga bikin kulit kering. Ada efek calmingnya juga dan ga ada white cast. Rekomen banget buat yang cari sunscreen tapi wajahnya jerawatan, must have item.",1 week - 1 month,Watson,Eli0102 recommends this product!
92,wideuya,25 - 29,"Combination, Medium Light, Warm",22 Jun 2024,"Setelah pemakaian 1 tube, menurutku sunscreen ini kurang nampol dikulitku yang badak ini. Karena sering aktivitas di luar ruangan, spf 35 ini kurang nampol dan bikin muka jadi agak kusam. Teksturnya oke punya, gampang menyerap kulit, gak lengket, gabikin perih pas kena mata, dan yang pasti gak ada bau samsek. Cuma sayangnya dikulitku yg berjerawat, ada purgingnya for at least 2 weeks - 1 months dan alhasil garepurchase lagi walaupun harganya affordable.",1 month - 3 months,Shopee,wideuya recommends this product!
93,meirifka,35 - 39,"Combination, Medium, Warm",22 Jun 2024,"Sunscreen ringan, ga lengket, cepat kering, nyaman dipakai waktu udara lagi panas. Kulit oily bakalan suka. Kalau pakai sunscreen ini aku skip pelembap, karena di aku feelnya udah cukup lembap, sesuai namanya ""sunscreen moisturizer"". Aku pakai ini di rumah, jarang aku pakai buat kegiatan outdoor, jadi aku ga tau performanya kalo untuk kegiatan outdoor yang intense dan lama. Untuk sunscreen rumah, aku perlu yg light , nyaman dan cepat kering kayak ga pakai apa-apa, dan sunscreen ini pas. Sempat jadi andalan juga kalau ada jerawat supaya jerawat cepat kempes dan sembuh.",More than 1 year,Lazada,meirifka recommends this product!
94,Winnyfebriana,19 - 24,"Combination, Medium, Warm",21 Jun 2024,"Sunscreen azarine khusus kulit berjerawat, lotion putih gampang meresap tapi ntah kenapa kurang nyaman kupakai. Lebih prefer azarine hydrashoot dipakainya lebih mudah meresap dan enak buat sebelum make up, memang dari harga lebih murah yang varian acne.",3 months - 6 months,Lazada,Winnyfebriana recommends this product!
95,mariasofiii,30 - 34,"Oily, Medium Light, Neutral",21 Jun 2024,Sunscreen yang selalu aku pakai saat kondisi muka lagi breakout dan jerawat meradang. Teksturnya ringan dan cepat meresap pas dipakai ngga ada whitecast sama sekali karena dia mirip moisturizer. Jadi sunscreen ini tu juga ngelembabin tapi juga ngga bikin berminyak. Tipe muka aku oily pakai sunscreen ini aman banget.,More than 1 year,Lazada,mariasofiii recommends this product!
96,AmiLim,19 - 24,"Oily, Medium, Neutral",21 Jun 2024,"Pake ini yg aku rasain pertama ga berat dan lengket, meresap lumayan cepet, dan ga bikin makin breakout kalo di pake pas jerawatan, mungkin itu efek kandungan bakuchiol nya. Sejauh ini nyaman banget di pakai sehari hari walaupun cuman Spf 35, minusnya perih kalo kena mata pas di pas dipakai berenang.",6 months - 1 year,Shopee,AmiLim recommends this product!
97,ayusgiarty11,30 - 34,"Oily, Medium, Cool",20 Jun 2024,"Sunscreeen favorit, belum ada yang bisa menggantikan posisinya, buat kulit yg acne prone skin ini enak banget di pake pas lagi kulit ngamuk, dan kita harus balik lagi ke basic skincare, selain ada kandungan calming buat kilit yang lagi ngamuk, dunscreennya udah mengandung moisturizer jadibklo lagj males ga perlu pake moisturizer",6 months - 1 year,Tokopedia,ayusgiarty11 recommends this product!
98,Indriyani29,25 - 29,"Oily, Medium Light, Warm",19 Jun 2024,"Awal pakai sunscreen merek sebelah eh malah makin berminyak di mukaku, waktu ganti pakai ini benar2 cocok buat kulit oily dan acne. Best banget sih gampang meresapnya juga. Belum nemuin yg lebih cocok daripada ini.",6 months - 1 year,Tokopedia,Indriyani29 recommends this product!
99,dianditaa,25 - 29,"Combination, Medium, Warm",18 Jun 2024,Kalo lagi jerawatan trus pake sunscreen ini tuh enak banget. Ga over moisturized tapi juga bisa ngeprotect dari sinar uv. Trus dia juga ringan dan ga bikin pedih di mata. Gampang luntur kalo kena keringat tapi jadinya gampang dibersihin juga pake micellar water. overall ini sunscreen yang lumayan buat orang-orang yg kegiatannya kebanyakan di indoor,1 month - 3 months,Guardian,dianditaa recommends this product!
100,aqilla25,18 and Under,"Oily, Medium, Neutral",18 Jun 2024,"first time aku nyobain ss ini tuh enak, ga lengket, kayak ga pake apa² di muka, trs juga ga ada wanginya, sejauh ini enak dan cocok di muka aku yg acne prone skin, aku pake ss ini trs di timpa bedak tabur aman² aja, tpi inget hrs double cleansing ya teman², worth it bgt ini, kantong pelajar able, aku udh repurchase 3 kali",3 months - 6 months,Shopee,aqilla25 recommends this product!
101,tiara_126,19 - 24,"Oily, Medium Dark, Warm",17 Jun 2024,"Sunscreen teraman dan ternyaman buat skin type acne prone kayak aku! Harganya bener-bener ramah di kantong dan yang pasti nggak ada efek macem buat kulit. Pernah dikasih tau kandungan SPF 35 tuh udah cukup banget buat di apply di wajah yang gampang buat jerawatan, so happy ketemu sama produk satu ini :) <3",More than 1 year,Shopee,tiara_126 recommends this product!
102,Leehaya,19 - 24,"Combination, Medium, Cool",16 Jun 2024,"Engga banyak ekspektasi sih pakai produk ini awalnya karena rekomendasi aja. TERNYATA SEBAGUS ITU WOII>_< buat muka aku yang sering kemerahan tuh ke cover kalau pake Sc ini dan bikin glowing juga after nya, tapi tetep yaa engga cocok lama lama buat aktivitas outdoor kaya olahraga. karena aku suka aktivitas outdoor apalagi olahraga jadinya ke muka sering banget merah dan cepet kusam. kalau full ruangan AC pasti adem banget muka tuh , Sangat amat worth to buy dongg apalagi ini underprice sekali, cocok buat anak remaja",More than 1 year,Shopee,Leehaya recommends this product!
103,ameliatrihafsari,18 and Under,"Oily, Medium, Cool",15 Jun 2024,"lumayan ngefek di kulit berjerawat ku, jadi gak gampang jerawatan dan bikin agak cerahan karena setelah dipake tuh gak bikin muka kusam, trus gak terlalu oily juga, malah minyak di muka aku jadi berkurang setelah pake ss ini, tp ya biasa aja sih, gak yang ngefek banget gitu.",6 months - 1 year,Alfamart,ameliatrihafsari recommends this product!
104,LuckyrinA,19 - 24,"Oily, Light, Neutral",15 Jun 2024,"Pas di alfamart lagi nyari sunscreen eh ngeliat ini dan tertarik buat beli karena tulisannya calm my acne dan buat acne prone skin, setelah ku beli dan ku pakai besoknya muncul jerawat dan beruntusan rombongan gitu, kaget lahh, aku ngga ngira karena produk ini awalnya dan besoknya masih kupakai trus ya jelas muncul lagi jerawatnya, ini salah satu produk yang bikin aku breakout sama sekarang susah sembuh, sangat-sangat tidak sukaaa",Less than 1 week,Alfamart,LuckyrinA doesn't recommend this product!
105,diendie,19 - 24,"Combination, Medium Dark, Warm",09 Jun 2024,Kulit aku tipe yang minyakan banget di T zone tapi pas pake ini seriusan keren deh. Dibanding sunscreen yang aku pake sebelumnya ini better bangtt Asli deh. Banyak yang bilang kusam tapi di aku aman aja si buat dibawah make up. Soalnya aku pakai merk lain lagi for daily,3 months - 6 months,Tokopedia,diendie recommends this product!
106,shafabilann,18 and Under,"Combination, Medium Light, Neutral",09 Jun 2024,Sunscreen yang very recommended buat acne prone karena menyerapnya cepat dan langsung sat set di wajah. Aku suka banget sama tekstur dan dia menyerap cepet banget. Udah gitu aman untuk dikantong jadi ngga bikin kantong kering. Aku udah habis 4 tube sendiriii,6 months - 1 year,Shopee,shafabilann recommends this product!
107,natasyamaulidan,19 - 24,"Oily, Medium, Neutral",09 Jun 2024,"Salah satu sunscreen yg cocok untuk tipe kulit berjerawat.... Mudah menyerap di kulit dan mudah diaplikasikan di wajah. Pokoknya sangat recommended bagi yang kulitnya mudah berjerawat👍. Harganya juga sangat terjangkau, khususnya bagi saya mahasiswa",6 months - 1 year,Shopee,natasyamaulidan recommends this product!
108,lauranovitas,25 - 29,"Combination, Medium, Neutral",09 Jun 2024,"Sunscreen andalan aku dari dulu, gampang diaplikasiinn. Tidak whitecase di muka, tidak gampang berminyak, menyatu dengan makeup, wajib reaply 3 jam sekali biar tidak terpapar matahari, calming bgt sunscreennya, sangat bangus. Next mau beli lagi",1 month - 3 months,Shopee,lauranovitas recommends this product!
109,Yeshidestiana,25 - 29,"Dry, Medium, Neutral",09 Jun 2024,"Teksturnya gel, spf 35 aman untuk kulit berjerawat bahkan yang kurasa menggunakan sunscreen ini dia juga bisa merawat jerawatku. Sudah banyak produk yg dicoba tapi cocok banget sama azarine yang ini. Karena tipe kulit yang sensitif kebantu banget adanya sunscreen ini",6 months - 1 year,Shopee,Yeshidestiana recommends this product!
110,Titaniakho01,25 - 29,",25 - 29",09 Jun 2024,"Pengalaman saya ketika menggunakan sunscreen azarine ini bagus banget , ketika menggunakan ini minyak minyak di muka otomatis hempas dan juga bagus banget untuk kulit berminyak bagus banget deh pokoknya wajib banget punya produk sunscreen azarine ini",More than 1 year,Tokopedia,Titaniakho01 recommends this product!
111,Bintangsldv,19 - 24,"Combination, Medium Dark, Warm",09 Jun 2024,"Sunscreen yang lumayan cepet meresap, gampang di blendnya ga bikin white cast karena dia juga gel yang kalo di blend gak berwarna alias bukan ss yg tone up gitu, gak bikin jerawat makin meradang, cuma sometimes kurang bersahabat sama oily skin, but overall good",More than 1 year,Shopee,Bintangsldv recommends this product!
112,AliaZhafira411_,18 and Under,"Combination, Medium Light, Neutral",08 Jun 2024,"Aku pake ini mulai kelas 6 sd dan dibeliin mamaku karena waktu itu aku punya jerawat krn pubertas. Teksturnya sgt ringan gitu jadi sgt mudah diblend dan di kulitku gk bikin kusam. Untuk jerawat, ini lumayan bisa ngilangin juga. Untuk keektifitasannya melindungi matahari sangat efektif sih tapi tetep hrs reaply tiap 2 jam sekali yaa. Tapii consnya di area t zone gitu jadi berminyak tapi masih bisa diatasin lah.",More than 1 year,Shopee,AliaZhafira411_ recommends this product!
113,ssenja,19 - 24,"Oily, Medium, Neutral",08 Jun 2024,"sangat bagus untuk melindungi kulit kita dari paparan sinar matahari yang menyengat,tidak lengket dikuliti mudah menyerap dan sangat cocok untuk anak sekolah karena sangato ffordabble untuk kantong pelajaryang minimalis baguspokonya",6 months - 1 year,Shopee,ssenja recommends this product!
114,a_nezha,25 - 29,"Combination, Medium, Neutral",08 Jun 2024,"Azarine suncreen paling cocok dan recomended untuk dibeli, harganya yang terjangkau dan kemasan produknya yang trendi serta ada berbagai size yang bisa dipilih. Serta banyak varian produk dan ukuran spf nya. Bisa melindungi kulit dari sengatan sinar ultraviolet matahari .",3 months - 6 months,XBeauty by Female Daily,a_nezha recommends this product!
115,Niaa1201,19 - 24,"Normal, Medium, Neutral",08 Jun 2024,"Produk bedak murah meriah gampang dicari dan bagus, produk ini udah lama banget tapi masih bertahan dan banyak variannya. Harganya murah bangetttt enak dipakai ga bikin dempul. Tapi harus hati-hati soalnya banyak produk yang palsu. Harus beli",1 month - 3 months,Female Daily Studio,Niaa1201 recommends this product!
116,sukaskincareran98,25 - 29,"Oily, Medium Dark, Neutral",08 Jun 2024,"Sunscreen ternyaman banget buat acne prone dan oilyskin finishnya matte,gabikinwhitecast dan aman banget buat dipakai di bawah makeup ga bikin makeup jadi longsor. Di pakai di atas makeup buat reapply aman sekali ga bikin makeupnyaa jadi luntur.",6 months - 1 year,Shopee,sukaskincareran98 recommends this product!
117,Faradilasaf,19 - 24,"Combination, Medium, Warm",07 Jun 2024,selama pake sunscreen ini muka ku ga bruntusan😍 tipe kulit ku acne jadi ga bisa pakai spf yang terlalu tinggi jadi cocok banget pake ini +++ nya ngelembabin bangettt😍 buat kamu yanh punya tipe kulit acne cocok banget si pake ini❗ pokonya harus cobain,3 months - 6 months,Shopee,Faradilasaf recommends this product!
118,milkiilate,19 - 24,"Oily, Light, Neutral",07 Jun 2024,"baru beberapa bulan nyobain produk ini tapi kulit aku yang acne prone ini uda jarang banget jerawatan, sebelumnya aku uda 1 th pake yang spf 50 tapi masi beruntusan, trus sempet liat podcast dr richard yang katanya lebih tinggi spf semakin menyumbat pori jadi nyobain yg calm my acne ini, ternyata cocok di aku, kulit jadi lebih seger dan lumayan nahan minyak di aku, kemerahan dan beruntusan udah jarang banget, kemasannya juga lebih kecil jadi gampang dibawa kemana-mana.",1 month - 3 months,Shopee,milkiilate recommends this product!
119,desti_ramadhani,25 - 29,"Oily, Medium Light, Neutral",07 Jun 2024,"Ini termasuk sunscreen yg nyaman bangett aku pake. Tipe kulitku oily jadi agak susah gampang nemuin ss yg cocok, tapi ss ini udh masuk tube ke 3 so far cocok bangett. Teksturnya mudah diserap kulit dan jadi matte kalau udh set. Ada sensasi coolingnya sedikit dan yang pastiii dia tahan oil👏🏻 recommend bgt untuk kulit sejenis",3 months - 6 months,Tiktok Shop,desti_ramadhani recommends this product!
120,Radial,25 - 29,"Normal, Medium Light, Warm",07 Jun 2024,Cepat meresap dan teksturnya cenderung waterbased jadi tidak berminyak sama sekali setelah dipakai. Inggredient paling aman untuk kulit sensitif atau yang mudah berjerawat. Dia tidak akan perparah. Lebih ke soothing bila ada acne di wajah.,More than 1 year,Lazada,Radial recommends this product!
121,ourisa,19 - 24,",19 - 24",06 Jun 2024,"sunscreen paling rekomen untuk kulit berjerawat dan sensitif, 0%alkohol, tekstur nya juga kaya moisturizer no white case,oil contol dan aku suka banget efek adem dan calmingnyai, harganya afordeble dan cocok buatt kantong pelajar huhu cinta bgt sama sunscreen azarine ini",6 months - 1 year,Shopee,ourisa recommends this product!
122,Yuznia_Widodo,30 - 34,"Combination, Medium, Warm",06 Jun 2024,"Ini salah satu varian sunscreen dari azarine yang diperuntukkan acne prone skin. Setelah beberapa saat dipakai feelnya ringan, tidak ada whitecast, dan menjadi matte tapi tetap lembab namun tidak lengket. ada sedikit aroma tipis mirip obat tapi tidak mengganggu. Cocok untuk kulit berminyak cenderung berjerawat.",1 week - 1 month,Shopee,Yuznia_Widodo recommends this product!
123,Yurmilani,45 and Above,"Normal, Medium Dark, Neutral",06 Jun 2024,"Azarine Calm My Acne Sunscreen ini sangat cocok digunakan dikulit wajahku yang suka kusam karena terpapar sinar matahari. Dengan pemakaian rutin dan teratur membuat kulit wajahku jadi terasa lebih halus, lembut dan segar. Recommended",1 month - 3 months,Shopee,Yurmilani recommends this product!
124,amoorra,18 and Under,"Oily, Medium, Neutral",06 Jun 2024,"Awalnya aku cuma coba coba cari sunscreen yang calming my acne, akhirnya aku ketemu produk azarine yang sesuai sama tipe kulitku, so far sunscreen azarine ini ringan semua dan cocok sama kulitku, untuk harga yang terjangkau, menurut aku ini sangat recomended",1 month - 3 months,Shopee,amoorra recommends this product!
125,blithvogze,19 - 24,"Oily, Medium, Neutral",05 Jun 2024,"sebenernya bagus, cuma aku kurang suka banget sama baunya, tapi ini bener bener lembab banget buat aku yang oily! aku tiap pagi biasanya suka males pake moist banyak banyak but this works so good as a sunscreen! might repurchase.",1 month - 3 months,SOGO,blithvogze recommends this product!
126,Vinna25,25 - 29,"Oily, Medium Dark, Neutral",04 Jun 2024,"Sangat merekomendasikan untuk kulit yang only, teksturnya sangat ringan dan tidak membuat wajah berjerawat. Spfnya tidak terlalu tinggi jadi tidak membuat wajah makin berminyak. Sudah pernah diuji spfnya dan hasilnya akurat sebesar 35 spf.",6 months - 1 year,Alfamart,Vinna25 recommends this product!
127,Syaviradevianty,25 - 29,"Combination, Light, Warm",04 Jun 2024,"Sunscreennya ringan bgt bgt langsung nyerep di kulit malah ga kayak pke sunscreen, ga bikin muka kek dempul yg hikin putih abu abu gitu, aman bgt buat acne prone skin krn jadi ga nyumbat pori pori, harga nya jg murah bgy + gampang di temuin dimana aja",3 months - 6 months,Shopee,Syaviradevianty recommends this product!
128,asyifadwi,18 and Under,"Oily, Medium, Warm",03 Jun 2024,"setelah sekian lama nyari sunscreen yang cocok buat acne prone AKHIRNYA KETEMU SAMA INI PRODUK. dia tekstur nya cream tapi kaya gel , gak ada wangi yang ganggu juga, kemasannya mungil bisa dibawa traveling, untuk harga segitu menurut aku with it , banyak tersedia di minimarket juga.",Less than 1 week,Shopee,asyifadwi recommends this product!
129,agenesya,30 - 34,"Oily, Medium Light, Neutral",01 Jun 2024,"Nyerap di muka & hasil nya jadi skin tone di wajah aku. Wajib beli sih untuk sunscreen seperti ini, karna kerasa banget di muka kalau kita pake sunscreen. Untuk hasil max jangan lupa reapply yaaaaaaa gengs",Less than 1 week,Instagram,agenesya recommends this product!
