Unnamed: 0,username,age,profile_description,date,review_content,usage_period,purchase_point,recommend,rating_count
69,dinalfff,19 - 24,"Oily, Medium, Neutral",2024-05-21,cobain suscreen dari azarine dan ternyata sebagus itu ngga bikin kulit kusam atau oksidasi melembabkan ngga bikin komedo dan bikin kulit glowing secinya itu sama sunscreen azarin ngga pernah mau ganti,More than 1 year,FD Try and Review,dinalfff recommends this product!,5
70,sheviraa,19 - 24,",19 - 24",2024-05-20,"tekstur nya ringan bngtt jujur, gampang meresapp. Ada sedikit tone up nya sih dikit aja, tekstur nya itu kaya gel jadi ha heran klo mudah menyerap. klo untuk harga nya sih standart sunscreen yg bagus gitu. Enak kok ss nyaa",1 month - 3 months,Tiktok Shop,sheviraa recommends this product!,5
71,Alivedie,19 - 24,"Oily, Medium Light, Cool",2024-05-20,"Bentuknya gel gitu, katanya cocok untuk kulit berminyak tapi di aku tetap berminyak. Tetap enak di pakai walaupun berminyak karena ga parah banget. Untuk mencerahkannya di aku ga ada, lebih suka yang satunya warna orange bikin cerah walaupun jadi berminyak juga.",1 month - 3 months,Shopee,Alivedie recommends this product!,4
72,ayyomiisks,19 - 24,"Combination, Medium, Warm",2024-05-19,"gapernah ganti sunscreen dari 2022 karena udahh secinta itu sama sunscreen azarine. ga bikin abu², no alkohol, no fragrance, ringan di kulit dan adem juga, ga bikin perih, harga nya juga affordable, pokoknya tiap tmn²ku tanya soal sunscreen aku selalu recomendasiin sunscreen dari azarine💓💓",More than 1 year,Tiktok Shop,ayyomiisks recommends this product!,5
73,ummu25,19 - 24,"Oily, Medium Light, Cool",2024-05-19,"tekstur ringan, coba ini udh lama banget ga ada masalah, di kulit ku juga aman dipakek sebelum make up, tekstur ringan dan gampang ngeresap, ga peeling juga kalo udh dipake, cuma untuk efek hidrasinya biasa aja, tapi bener ini type ss yg bakal cocok untuk kebanyakan type kulit indo",3 months - 6 months,Beautyhaul,ummu25 recommends this product!,4
74,puteridinanti,19 - 24,"Oily, Medium, Cool",2024-05-18,"Tekstur sunscreennya gel gitu, ringan banget, dan gampang di-blend. Yang paling aku suka, dia ini cepet nyerap ke kulit dan gak bikin kulitku yg oily ini semakin berminyak. Menurutku ini recomended buat yang tipe kulitnya oily kaya aku👍🏼",1 week - 1 month,Tiktok Shop,puteridinanti recommends this product!,5
75,Mila_insani,19 - 24,"Combination, Medium, Neutral",2024-05-18,"Dulu awal awal sebelum cocok ke produk ini, belum pernah pake yang namanya sunscreen.. Coba satu brand ke brand yang lain ternyata memang gak cocok di kulit aku sampai akhirnya temenku merekomendasikan produk ini dan yaaa cocok banget sampe sekarang.. Ndak tau dah repurchase berapa kaliii se worth it itu dikulit ku.. Teksturnya gel warna putih, hasilnya matte finish.. Aku pakenya sebiji jagung per area yaa kayak jidat, pipi, hidung ama dagu.. Jangan lupa leher jugaa.. Soalnya kalo kebanyakan kayak becek tapi gak becek banget, basah lah jadi meresapnya lama.. Tapi dianjurkan dua ruas jari sih lebih bagus, nge protect kulit kamu.. May be bisa dikipas kipas pake tangan biar cepat meresap.. Untuk kolaborasi sama produk lain, maksudnya tahapan skincare ku kadang ada yang cocok dan ada yang gak cocok.. Entah apa yang membuat gak cocok, nanti tiba tiba ada beruntusan kecil, jadi pas waktu pake ss ini harus 'single fighter' alias ss aja makenya (gak pake urutan skincare dulu).. Apa aku aja yaa? 😅 Tapi serius jujur cocok cocok aja di aku cuma kalo dikolaborasi dengan produk lain harus mikir mikir lagi dan nyesuaiin kandungan serta kebutuhan kulitmu",More than 1 year,Shopee,Mila_insani recommends this product!,5
76,intaniazn,25 - 29,"Combination, Medium Light, Neutral",2024-05-17,"Beneran bagus di kulit wajah yang kombinasi cenderung oily. Setnya cepet, gak bikin jerawatan dan beneran no whitecast. No fragrance sama sekali. Teksturnya krim gel sedikit watery jadi gampang diblend. Jatuh cinta banget pokoknya!!",More than 1 year,Shopee,intaniazn recommends this product!,5
77,Jasminsdj,25 - 29,"Combination, Light, Warm",2024-05-17,Omogat ini sewh produk suncreen terbaik yang pernah aku pakai..selain spf nya tinggi cocok untuk semua kulit dan karakternya menyerap bgt di kulit..cocok untuk Jakarta yg panas bgt..cuma kekurangan mahal bingits besti harga nya..cuma sesuai lah dg ekspetasi dan kegunaan sewh,More than 1 year,Shopee,Jasminsdj recommends this product!,5
78,Aramy_Prima,19 - 24,"Combination, Medium Light, Neutral",2024-05-16,"Teksturnya kental, dan agak lama untuk meresap. Biasanya aku pake di pagi hari sekalian makeup juga, tapi di siang hari mukaku lgsg berminyak parah, mungkin memang karna tipe kulitku juga oily. Sebetulnya mungkin bagus2 aja kalau dipake sama tipe kulit selain oily.",1 month - 3 months,Shopee,Aramy_Prima recommends this product!,3
79,afollelaonda,25 - 29,"Oily, Medium, Neutral",2024-05-16,Sunscreen kecintaan aku banget!!! Pliss selalu Ready stok ya Azzarine 🙏🏻✅ No fragrance✅ Tekstur emulient mudah di serap✅ Menambahkan kelembapan✅ Ga bikin muka kaya kilang minyak✅ Ga Pedih dimata ✅ 100% mutmrah meriah muntah!!! 🥰,More than 1 year,Tiktok Shop,afollelaonda recommends this product!,5
80,nandsonya,25 - 29,"Combination, Medium Light, Neutral",2024-05-15,"Kalo kalian lagi cari sunscreen yang affordable, kalian bisa cobain ini. enak banget dipakenya super ringan dan cepet meresap di kulit. dia ga whitecast juga. harganya mura bangettttt aku sampe punya banya karena super murah. cocok buat pelajar karena ringan dipake dan ga lengket sama sekali",3 months - 6 months,Female Daily Event,nandsonya recommends this product!,5
81,alifianann_,19 - 24,"Oily, Medium Dark, Warm",2024-05-15,aku udah pake ini sampe 1 tahun dan skrg masih pake produk ini dan ini bagus buat kulit aku yg sensitif dan acne skin. sangat amat suka sama produk ini aku abis pake ini engga ngasih efek negatif ke kulit aku yg gampang jerawatan ini dan ini engga bikin kusam di kulit,6 months - 1 year,Shopee,alifianann_ recommends this product!,5
82,salmaastf,19 - 24,"Combination, Medium, Cool",2024-05-14,"teksturnya ringan, muka berasa gapake ss, ga whitecast, ga bikin lengket juga, bikin muka segerr, adem gitu, gentle ss, cocok banget buat oily skin kek aku, make up friendly. udah 2x repurchase karena sebagus ituuu, dari segi harga menurutku sih aga pricey hihi, for all worth to buy sih",More than 1 year,Shopee,salmaastf recommends this product!,5
83,Nouvitaa,35 - 39,"Combination, Medium Light, Cool",2024-05-14,Teksturnya gel kental berwarna putih. Nyaman di kulit kering dan ga bikin kusam. Gampang diblend dan ga ada white cast juga. Kalo pake ini berasa nemplokin lapisan lilin di muka yang kalo kena air langsung meleleh. Jadi gampang dibersihin juga kalo mau wudhu. Cocok buat harian dengan aktivitas normal di bawah matahari.,1 month - 3 months,Shopee,Nouvitaa recommends this product!,4
84,adelyanp,19 - 24,"Oily, Medium Light, Warm",2024-05-13,"Finding a sunscreen that protects and hydrates can be tricky. But Azarine Hydrasoothe is a hidden treasure! It goes on smoothly, feels weightless, and keeps my skin quenched all day. No greasy residue, just a healthy, dewy finish. Perfect for those who dislike heavy sunscreens. Absolutely recommend!",6 months - 1 year,Shopee,adelyanp recommends this product!,4
85,azkahzet,19 - 24,"Combination, Medium, Neutral",2024-05-13,"Aku satu tahun pake sunscreen ini gapernah gantii karena dikulitku dia ringan, gaada whitecast dan gabikin kusam, teksturnya juga ga cair dan gampang di blend, harga nya juga affordable, packaging pengiriman aman pakai dus dan full bubble wrap, jadi amannn bgttt💯❣️😻",6 months - 1 year,Shopee,azkahzet recommends this product!,5
86,yypiskyies,18 and Under,"Normal, Medium, Neutral",2024-05-12,"lumayan lah tekstur dia gel ringan bngt diaplikasi ke muka ,tapi yang disayangkan ternyata bikin kulit aku kusem lama kelamaan jadi aku ganti ke azarine oren (say sorry untuk azarine sunscreen yang ini 🙏🏻) ,ini direkomen di kulit oily bagus kok",1 month - 3 months,Guardian,yypiskyies recommends this product!,4
87,vhiuraa,19 - 24,"Oily, Medium Dark, Neutral",2024-05-12,"Sunscreen pertama yang aku coba dari azarine. Teksturnya gel gitu, ringan di wajah, mudah di blend, dan bagus engga whitecast. Aman banget sih buat kulit aku yang sensitif, soalnya engga nimbulin kemerahan/panas cekat-cekit/bruntusan. Repurchase? Kayanya engga soalnya mau coba varian yang calm my acne",1 month - 3 months,Tokopedia,vhiuraa recommends this product!,4
88,auliafitri18,30 - 34,"Normal, Medium, Neutral",2024-05-11,"Sunscreen yang ringan dan mudah meresap saat di apply. sejauh ini cocok dan tidak greasy, tidak whitecast dan tidak membuat breakout . minusnya agak perih dimata plusnya mudah dibeli dimana mana. teksture nya agak cair jadi agak cepat habis",6 months - 1 year,Alfamart,auliafitri18 recommends this product!,4
89,acaaaaaaaaaaaaaa,19 - 24,"Combination, Light, Cool",2024-05-11,"nyobain punya temen selama beberapa hari karena lagi nginep dirumahnya waktu itu. emang dari teksturnya si ya ringan buanget pol, muka berasa lebih enteng. tapi jujur aja sebagai sunscreen aku ga suka tekstur yang begini. emang ya tujuannya biar ringan diwajah, ga berat dan ga berasa pake apa2, tapi aku malah ga sukaa tekstur kaya gini untuk sunscreen huhuhu, ga berasa ada ""perlindungan"" nya. aneh aja di aku. poin plusnya selain tekstur, dia ga bikin aku breakout atau apapun lah. mungkin bisa ajaa aku purchase sunscreen ini, tapi aku ada option yang lebih baik buatku. ini mungkin untuk temen2 yang sukanya skincare yang ""ga berasa pake apa2"". not for me, tapi bagus",Less than 1 week,Gift,acaaaaaaaaaaaaaa recommends this product!,4
90,Shandyagia,30 - 34,"Combination, Medium Light, Neutral",2024-05-10,"Teksturnya paduan lotion dan gel. Nggak bikin muka jerawatan. Wanginya lembut dan cepat meresap, nggak ada whitecast, buat basic make up cukup bikin bedak padat awet. Kulit jadi lembab. Rekomen untuk yang banyak kegiatan tapi males re apply.",3 months - 6 months,Shopee,Shandyagia recommends this product!,4
91,HanaIr,30 - 34,"Dry, Medium Light, Cool",2024-05-10,Coba ini karena rekomendasi dari teman. Awalnya suka banget sama sunscreen ini karena texture dan melembabkan kulit juga sensasi dingin pas pake sunscreen ini.Tapi setelah pake beberapa kali ternyata sunscreen azarine ini bikin kulitku bertambah kusam. Sedih sih karena jujur aku suka sunscreen yg melembabkan ini.,1 month - 3 months,Shopee,HanaIr recommends this product!,3
92,intan120206_,18 and Under,"Combination, Light, Neutral",2024-05-09,"Sunscreen azarine ini di aku bagus banget, dia juga ngelembapin juga di aku trus dia di applaynya enteng, gak berat juga teksturnya aku suka banget ringan gitu buat yang pengen coba coba aku saranin pake sihhh karna ini bagus banget dan harganya lumayan buat dikantong mahasiswa/pelajar",1 month - 3 months,Tiktok,intan120206_ recommends this product!,5
93,ratnasriwahyuni,30 - 34,"Combination, Medium Light, Neutral",2024-05-09,"Banyak yang suka sama produk ini. Aku juga gitu suka sama teksturnya diawal pemakaian tapi ngerasa dikulitku lama2 jadi ngerasa kering, kurang lembabin gitu. Jadi baru coba sekali sampai habis dan belum repurchase lagi. Adakah yg sama ? Mau coba lagi tp pengen varian lain maa tau feelnya beda ya",1 month - 3 months,Gift,ratnasriwahyuni doesn't recommend this product!,4
94,Ekayulianaaa,19 - 24,"Combination, Medium Light, Warm",2024-05-08,"Tentu beli sunscreen ini karena tergoda atas keviralannya. Sunscreen yang ringan, gampang menyerap di kulit, dan ga lengket serta ga berbau. Tapi di kulitku agak lumayan ketarik saking keringnya sih padahal varian lain engga. Untuk masalah proteksi aku gatau karena dia terlalu ringan",1 month - 3 months,Shopee,Ekayulianaaa recommends this product!,4
95,anitas_,25 - 29,"Normal, Medium, Warm",2024-05-08,"Sunscreen yang buat kulit aku lembab dan cerahan✨Tidak ada whitecast, gampang menyerap juga untuk kulit aku yang normal to dry. Untuk harganya worth it dan bener-bener aku rekomendasikan si Azarine Hydrasoothe Sunscreen Gel SPF 45+++.",More than 1 year,Shopee,anitas_ recommends this product!,5
96,refannilysianap_,19 - 24,"Normal, Light, Neutral",2024-05-07,"wah mantul bangettt ini cocok di aku , teksturnya juga enakkk bgtt !!! , kalian harus cobain sunscreen ini , karna aku juga skrg tuh kulitnya jadi lg agakk keringg jadii suka pake ini ternyata cocok dan pas di aku kalian wajb cobain sih skrg juga yuu",6 months - 1 year,XBeauty by Female Daily,refannilysianap_ recommends this product!,5
97,jyulita,18 and Under,"Combination, Medium, Warm",2024-05-07,"diaku yang skintype nya acneproneskin+oily ini bagus cuman emang agak sedikit berminyak after 5 hours jadi harus tipis - tipis aja deh makenya , but overall bener bener ngelindungin banget dari sinar UV soalnya dia 45pa+++ thats why mungkin ga bikin kusam muka after dipake lama",1 month - 3 months,XBeauty by Female Daily,jyulita recommends this product!,4
98,sallysallang,19 - 24,"Normal, Light, Cool",2024-05-06,"Salah satu sunscreen harga terjangkau tapi kualitasnya ga main-main! Teksturnya gel, dia dingin dan ringan. Ga bikin whitecast di muka aku and overall I love the texture + dia juga gampang kering.If you're on budget, I suggest to buy this sunscreen. Overall I love it!",1 week - 1 month,Tokopedia,sallysallang recommends this product!,4
99,Laa_xvii,19 - 24,"Dry, Light, Cool",2024-05-06,"Kebetulan banget aku beli ini karena lagi cari sunscreen baru. Tertarik banget sama Azarine Sunscreen karena klaimnya yang ringan, bebas whitecast, dan nggak bikin wajah jadi oily. Pas aku coba, bener aja sih sunscreen ini sesuai sama klaimnya ringan banget dan nggak bikin wajah berminyak. Teksturnya enak dan gampang meresap. Aku suka banget!Tapi sayangnya... setelah pemakaian, wajahku langsung bruntusan parah. Padahal aku udah berharap banget sunscreen ini bakal jadi favoritku😭🥺",Less than 1 week,Shopee,Laa_xvii doesn't recommend this product!,2
100,elszahardani,25 - 29,"Combination, Light, Cool",2024-05-05,Aku suka banget sih dengan sunscreen ini karena cocok dengan kondisi muka aku. Nyaman digunakan setiap hari bisa di aply juga bagus banget pokonya teman teman semua harus coba sih pasti nagih banget dan pasti repurchase lagi produck ini ya,6 months - 1 year,Tiktok Shop,elszahardani recommends this product!,5
101,GitaKirana1,19 - 24,"Normal, Medium, Neutral",2024-05-05,"suncreennya bagus dan enak buat kulit dan ga bikin kulit jadi kering. Selain itu, bahannya juga lembab sehingga dapat membuat cerah. Texsturnya bikn kulit menjadi dingin dan membuat tahan lama di muka. Ini bagus buat kulit yang kering dan normal.",1 week - 1 month,Shopee,GitaKirana1 recommends this product!,5
102,nyayunabilah,19 - 24,"Oily, Light, Cool",2024-05-04,"semenjak aku pake sunscreen ini kaya muka tuh ga gampang minyakan terus malah jadi glowing dan bercahaya suka banget si, dan dibanding dengan produk lain ini tuh aman buat muka sensitif kaya aku dan harganya masih terjangkau buat aku yg mahasiswalove azarine",More than 1 year,Shopee,nyayunabilah recommends this product!,5
103,melmelss17_,19 - 24,"Dry, Medium Light, Neutral",2024-05-04,"Azarine sunscreen-nya sih emang oke banget! Teksturnya ringan, ga lengket, dan bikin kulit adem. Plus, bau nya juga enak, ga kayak sunscreen pada umumnya yang bau nyengat gitu deh. Jadi cocok buat kamu yang gak suka ribet sama sunscreen yang berat di muka. Overall, recommended banget buat dipake sehari-hari!",6 months - 1 year,Shopee,melmelss17_ recommends this product!,5
104,annisamelisa21,25 - 29,"Oily, Medium, Neutral",2024-05-03,"Sunscreen yg gaboleh di skip dan selalu jadi sunscreen andalan dari jaman muka masih beruntus kemerahan, dan skrg alhamdulillah udah jauh lebih baik kondisi mukaku. Teksturnya yg ringan banget diwajah dan ga lengket sama sekali",More than 1 year,Tiktok Shop,annisamelisa21 recommends this product!,5
105,meimona,25 - 29,"Dry, Medium Light, Cool",2024-05-03,"Sejauh ini, aku ngerasa sunscreen azarine itu nyaman untuk dipakai pada saat aktivitas outdoor apalagi ke pantai.. karena gk bikin lengket & pas apply tuh ada sensasi adem nya.. aman banget digunakan sebelum makeup, pokoknya aku suka",3 months - 6 months,Shopee,meimona recommends this product!,5
106,sabrinabrilliani,18 and Under,"Combination, Medium Light, Cool",2024-05-02,"ga bikin kusam dan ga bikin berminyak habis pake produk nya, gaa lengket juga setelah diaplikasikan pokoknya best banget buat semua jenis kulit apalagi yang kulitnya sensitif ini cocok banget! harus cobain pasti bakal repurchase teruss",3 months - 6 months,Shopee,sabrinabrilliani recommends this product!,5
107,auliannnn,19 - 24,"Normal, Light, Cool",2024-05-02,"setahun lebih pake sunscreen azarine, dari awal pake udah suka banget, tekstur nya cocok ga lengket dan cepet nyerep, spf nya jangan diraguin lagi, ditumpuk make up bikin muka aku lebih cerah, bikin kulit aku lembab juga, secara keseluruh ini pilihan sunscreen terbaik!",More than 1 year,Guardian,auliannnn recommends this product!,5
108,itskennyy,19 - 24,"Oily, Medium, Warm",2024-05-01,"Awal nyobain product ini karna lagi viral disalah satu platform and turns out sukakk bgt sama productnya!! dimuka aku yg lumayan oily ini gabikin tambah oily dan kusam! teksturnya juga enak, gel gitu jadi gampang nyerapnya, dan nilai plusnya lagi dia murce hahaha",6 months - 1 year,Shopee,itskennyy recommends this product!,5
109,RisnaR24,25 - 29,"Combination, Medium Light, Neutral",2024-05-01,"Bagus banget ga bikin lengket, cepet menyerap, tidak menambah warna pada kulit, tidak bikin berminyak. Rekomendid banget bagus buat dipake dibawah makeup.Buat laki laki juga bagus ga bikin berminyak, ga bikin jerawatan juga aman pokonya",1 month - 3 months,Shopee,RisnaR24 recommends this product!,5
110,VinnyAC,25 - 29,"Normal, Light, Cool",2024-04-30,"Teksturnya enak bgt buat di apply, ringan dan cepet nyerep juga, packagingnya jga kecil dan compact jdi enak untuk dibawa kemana-mana, so far happy sih dgn sunscreen ini, cuma kadang kekecilan juga untuk di pake daily, so recommended used this product",6 months - 1 year,Shopee,VinnyAC recommends this product!,5
111,ditsanja,19 - 24,"Combination, Medium Light, Neutral",2024-04-30,"Produk ini sangat membantu kulit aku, semenjak pake produk ini kulit aku jadi terasa terjaga dari paparan sinar matahari, ditambah kulit aku yang kombinasi jadi cocok sama produk ini, buat kalian yang mau kulitnya terjaga dari sinar matahari cobain ini rekomen! Aku tidak ada foto yang azarine ijo itu adanya yang orange karena mau cobain yang baru",More than 1 year,Brand Website,ditsanja recommends this product!,5
112,florentinagadis,30 - 34,"Dry, Light, Cool",2024-04-29,"awalnya aku penasaran kenapa banyak banget yang suka sama sunscreen ini. alhasil aku mencobanya juga dan ternyata formulanya cukup light. cepet meresap ke kulit dan yang penting gak ada whitecast nya. so far so good untuk yang kulitnya dry seperti aku. apakah aku akan repurchase? hmm ntar dulu deh. tapi kalo aku butuh sunscreen urgent yang bisa didapatkan dimana-mana, aku pasti ambil Azarine ini.",1 month - 3 months,Tokopedia,florentinagadis recommends this product!,4
113,Ginaputriati,25 - 29,"Dry, Medium Light, Neutral",2024-04-29,"Teksturnya yang gel ,cenderung lebih cepat menyerap di kulit dan sangat ringan love it , untuk kamu yang punya kulit normal,oily dan dry ini bakal cocok banget ya ,oh iya sunscreen azarine ini bikin makeup kita semakin nempel sih yang aku rasakan",3 months - 6 months,Traditional Market,Ginaputriati recommends this product!,5
114,Aninditya09,19 - 24,"Oily, Medium, Neutral",2024-04-28,"Salah satu sunscreen yang friendly buat skintype oily. After pakai nya ga begitu bikin muka jadi becek dan cukup nahan minyak, dan yang penting ga bikin whitecast dan ga perihhh ke mata kalau kena keringettt. Luvv it",6 months - 1 year,Shopee,Aninditya09 recommends this product!,5
115,sinaynf,25 - 29,"Combination, Medium Light, Cool",2024-04-27,Sunscreen ini mudah pengaplikasiannya dan cepat menyerap ke wajah sehingga tidak membuat white case. Udah repurchase 3x sejauh ini sih aman yaa ringan dipakenya dan settle juga kalau pake makeup ga bikin geser. Pas dipake tuh bikin adem ke wajahnya,6 months - 1 year,XBeauty by Female Daily,sinaynf recommends this product!,5
116,Cottoncand,19 - 24,"Combination, Light, Cool",2024-04-27,"Sunscreen dari brand azarine ini ga bikin muka aku jadi kusam ataupun breakout. Paling penting, cukup mudah menyerap di wajah dan tidak menyisakan whitecase dikulit. Secara harga juga terhitung terjangkau",More than 1 year,Shopee,Cottoncand recommends this product!,5
117,Cartzcliffe,30 - 34,"Combination, Medium Light, Warm",2024-04-26,"Ehh masa sih aku belum pernah review produk ini? Produk ini menurutku beda sama yg spf 45 ya. Kalo untuk pemakaian sih enak ya, nyaman, mudah meresap dan enggak whitecast. Tapi sayang produk ini tuh pilling. Kenapa sih harus pilling begitu? Kegosok dikit kulitnya udah deh tuh bulir-bulirnya pada keluar, bikin ilfil aja. Skip aja lah.",More than 1 year,Shopee,Cartzcliffe doesn't recommend this product!,1
118,dheaputrip,19 - 24,"Normal, Light, Neutral",2024-04-26,not very dryskin friendly menurut aku krn hasilnya matte bgt bikin semakin drying dan kalo dipake makeup bikin makeup diatasnya terlalu “keset” krn matte. tp buat yg oily sepertinya akan cocok/buat cowok kali yaaa biar ga oily kl panas2an bisa dicoba👍🏻,1 month - 3 months,Guardian,dheaputrip recommends this product!,3
119,raishalaa,25 - 29,"Dry, Medium, Warm",2024-04-25,"Sunscreen paling ringan yang pernah aku pake. Teksturnya creamy tapi setelah diblend di wajah cepet nyerapnya dan ngga bikin oily. Di wajah aku yang kering feel ngelembapinnya pas. Ditimpa make up pun okeee banget, ngga ngebuat make up geser.",3 months - 6 months,Shopee,raishalaa recommends this product!,5
120,Wini2099Wulan,19 - 24,"Combination, Medium Light, Neutral",2024-04-25,Sunscreen ter ringan yang pernah aku pake cocok banget pokoknya buat wajah berminyak harganya juga worth it sihh mantap pokoknyaa ga bikin white cast juga sih cocok ajaa pokoknyaaa produk teh mantul tul tulllll 🌟🌟🌟🌟❤️❤️❤️❤️❤️❤️❤️❤️❤️🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺,More than 1 year,Shopee,Wini2099Wulan recommends this product!,5
121,quinensia,19 - 24,"Oily, Medium Light, Warm",2024-04-24,"aku pake produk ini sekitar 3 minggu lebih berhenti karna langsung break out parah, dalam sekali pemakaian aku langsung bruntusan😭😭😭 awalnya di kira karna hormon bulanan tapi makin hari makin banyak dan pas skip sunscreen tu ga ada nambah jerawat atau bruntusan. akhirnya mutusin ganti lagi ke sunscreen sebelumnya dan muka jadi balik normal.padahal aku niat ganti karna keracunan tiktok, ngeliat kalo teksturnya itu ringan dan ga berminyak tapi sayang banget ga cocok di aku💔",1 week - 1 month,Shopee,quinensia doesn't recommend this product!,2
122,tisca_lestari,19 - 24,"Combination, Medium, Neutral",2024-04-24,"aku nemu produk ini ketika aku menyerah dengan dunia per sunscreenan karena gak pernah nemu yang cocok. tapi surprisingly dia cocok di aku. dia gak ngasih kesan berat di wajah, gampang nyerep, ga ada bau ganggu. intinya okey banget. spfnya juga oke.",1 month - 3 months,Shopee,tisca_lestari recommends this product!,5
123,nadaputrii27,19 - 24,"Dry, Medium Light, Neutral",2024-04-23,"Akhirnya beli dan cobain Azarine Sunscreen Ceramide ini, udah ngincer dari lama yg katanya baguss omg ternyata beneran apalagi di kulitku yg kering dan sensitif ini gaada rasa"" berat pake sunscreen gitu, feel nya ya pake moisturizer cuma lebih thick aja dan lembab parah sihh luvv product bulan inii",1 week - 1 month,Shopee,nadaputrii27 recommends this product!,5
124,auliask_104,19 - 24,"Combination, Medium Dark, Warm",2024-04-22,"Pertama pakai sunscreen ini karena iseng coba punya kaka. Karena teksture nya gel dan nyaman dipakai. Tetapi, waktu sunscreennya mau habis jadi aga lengket di muka dan harus nunggu beberapa menit untuk meresap. But overall aku suka sama teksturenya.",3 months - 6 months,Shopee,auliask_104 recommends this product!,4
125,ocyeaniczee,19 - 24,"Dry, Light, Neutral",2024-04-22,Overall for me is 5/10. Not that good tbh. Tipe kulit ak yg dry skin. Jujur ini emg bikin lembab cmn utk spf 45++++ ini bkin kulit ak ttp gosong sedikit. Sebenernya utk texturnya creamy and ga terlalu lengket. Minusnya ga terlalu cover maksimal aja and hasilnya a bit oily. Not really recommend if u have a higher budget.,6 months - 1 year,Official Brand Store,ocyeaniczee doesn't recommend this product!,2
126,fiaaanuraa,19 - 24,"Combination, Medium, Neutral",2024-04-21,"teksturnya lotion creamy gitu, finishnya ngga bikin terlalu berminyak tapi cukup menghidrasi, cepat menyerap jadi ga perlu tunggu lama buat makeup, ngga peeling juga walaupun dibawahnya cukup banyak produk skincare yg dipake, very recommended🌟🌟",1 month - 3 months,Shopee,fiaaanuraa recommends this product!,5
127,Zyaa_,18 and Under,"Combination, Light, Neutral",2024-04-20,"untuk kulit aku yg combination to oily ini bagus tp bikin berminyak 😭😭, harga nya jugak lumayan murah. kalau dipake di luar ruangan yang panas auto banjir minyak jadi harus sedia tissue tp cocok di muka aku gak bikin bruntusan atau jerawat .",1 month - 3 months,Shopee,Zyaa_ recommends this product!,4
128,rensineleyan,25 - 29,"Oily, Medium Light, Neutral",2024-04-20,Skincare yg mantep buat kulit berminyak sama jerawat. Pas makainya gak berasa lengket sama sekali dan langsung nyerep 😍. Harganya udah affordable buat pemakaian hari-hari jadi hemat ke skincare lainn. Ini udah pemakaian 2 tahun lebih sampai sekarang gak berpindah hehe,More than 1 year,Guardian,rensineleyan recommends this product!,5
129,Pebriyantii,19 - 24,"Dry, Light, Neutral",2024-04-19,"Sunscreen yang selalu aku pakaiii, emang recomen bangett untuk para kaum mahasiswa, karena harga nya terjangkau dan isi produknya banyak juga. Jadi tahan ber bulan bulan. Tektur watery, ga lengkett, ga bikin white cash di wajahh. Bagusss banget pokoknya",3 months - 6 months,Shopee,Pebriyantii recommends this product!,5
130,riskikaa,19 - 24,"Oily, Medium, Neutral",2024-04-19,"selalu ganti ganti sunscreen karna bingung banget cari yang pas diwajah sama pas dikantong sebelum akhirnya nemuin sunscrine azarine ini.sumpah pemakaian botol pertama langsung keliatan banget hasilnya,kulit aku jadi lebih lembab ga gampang kering gitu,terus ga bikin break out suka deh pokoknya",1 month - 3 months,Shopee,riskikaa recommends this product!,5
131,pingkidnr,19 - 24,"Combination, Medium Light, Cool",2024-04-18,"Kayanya ini salah satu everyone favourite’s deh… aku cari sunscreen yg cepat meresap, no white cast dan setelah diapply gak bikin kulit wajah berminyak gitu… untuk penggunaan daily kayanya cukup ya untuk spf nya & kalo mau lebih jg tinggal di reapply aja..dan udah aku repurchase berkali kali",6 months - 1 year,Brand website,pingkidnr recommends this product!,5
132,valenkerin,25 - 29,"Oily, Medium, Neutral",2024-04-18,"Satu-satunya sunscreen yang ku re-purchase bebebera kali.. texturenya ringan, gampang di blend, gak bikin whitecast, gak bikin makin berminyak di kulitku yang oily. cuman sayangnya kurang ampuh untuk melindungi di aktifitas outdoor. tapi untuk indoor sih ini udah oke banget",3 months - 6 months,Official Brand Store,valenkerin recommends this product!,4
133,Nissaaaaaa,19 - 24,"Combination, Medium, Neutral",2024-04-17,"apabolehh sunscreen dengan spf yang lumayan tinggi tapi pas dipake se ringan itu?😭😭 I really like this sunscreen and highly recommend it to all of you!! I will definitely repurchase this product❤️‍🔥 teksturnya ringan bangettt, di timpa makeup juga masih okeee",1 week - 1 month,Shopee,Nissaaaaaa recommends this product!,5
134,echaa_06,18 and Under,"Combination, Medium Dark, Warm",2024-04-17,saat pertama kali aku pake azarine itu ngaruh banget sama kulit aku kayak bisa lebih mencerahkan kulit dan agak mengurangi jerawat dan azarine ini mudah di apply di muka jadi senang banget makenya pokoknya bagus banget dehh pake produk azarine,Less than 1 week,Sample,echaa_06 recommends this product!,4
135,guars,25 - 29,"Combination, Medium, Warm",2024-04-16,"Teksturnya pas banget dari semua sunscreen yang ada, tidak timbul whitecase dan matte di wajah, walaupun kalau siang tetap minyakan dikit yah. Harganya juga murah dan mudah dicari. Sejauh ini, sunscreen Azarine ini yang paling oke di antara sunscreen lokal manapun.",More than 1 year,Shopee,guars recommends this product!,5
