Unnamed: 0,username,age,profile_description,date,review_content,usage_period,purchase_point,recommend,rating_count
66,ShalshaTriAmaliah,19 - 24,"Combination, Medium Light, Neutral",2024-07-31,"Pernah pake ini waktu zamannya masih SMA. Teksturnya lumayan cair, tapi cepat nyerep juga di wajah terus melembabkan juga di wajah. Tapi selama pemakaian di aku dengan tipe kulit normal to dry, kalo uda siangan dikit lumayan bikin wajah berminyak",3 months - 6 months,Shopee,ShalshaTriAmaliah recommends this product!,3
67,dedessss,19 - 24,"Dry, Medium, Neutral",2024-07-30,ini pernahh kan viral banget!!!!!!! ini aku pakai sampai habis bagusss sih tapi agakk berminyak gitu di wajah akuuu jadi buat aku gakk nyamaann dehhh tapi adek aku pakai katanya bagus bagus ajaaa di diaa jadi bisa jadi beda beda yaa di tiap wajaahhh,1 month - 3 months,Official Brand Store,dedessss recommends this product!,4
68,NentihTsanudin,25 - 29,"Combination, Medium Dark, Warm",2024-07-28,"Putus nyambung pake Sunscreen ini. Pada akhirnya puter balik. Kembali lagi pake Skin aqua, tekture nya yang ringan bikin cepat meresap ke kulit dan buat kulit jadi lebih lembut. Cocok banget buat acne prone skin. Tidak ada bau dan tidak ada white case. Selembut itu buat kulit akuu. Udah kapok coba suncreen yang lain.",1 month - 3 months,Tokopedia,NentihTsanudin recommends this product!,5
69,okoutzu,19 - 24,"Combination, Light, Cool",2024-07-26,"ini sunscreen paling pertama aku sejak kenal dunia skincare. aku tau skinaqua krn papaku pake trs dan cocok, ternyata pas dikasih ke aku dan aku yg make itu ga cocok. di mukaku jd kusam dan malah nambah kesan kilang minyak😭😭 sedih bgt pdhl ini termsk budget friendly. tmnku yg cowok jg lbh suka sunscreen skinaqua putih, mungkin di aku emg ga cocok aja kali ya.",1 month - 3 months,Watson,okoutzu doesn't recommend this product!,2
70,shintaulyy,19 - 24,"Oily, Medium, Neutral",2024-07-22,"ini tuh, ss pertama aku girls. dia enak banget buat jerawat dan ga bikin jerawat aku makin parah juga. dia enakan aja sih, cuma aku gatau kenapa, dia agak perih di mataa, jadi aku kurang nyaman. juga dia belum cukup nahan kilang minyak di muka aku biar ga tumpah, itu aja sih. eh btw dia ss yang ringan di mukaa^^",More than 1 year,Shopee,shintaulyy recommends this product!,4
71,agnesszhafira,19 - 24,"Oily, Medium Light, Warm",2024-07-22,"Ini sunscreen pertamaku seumur hidup krn di tahun itu banyak yang suka sunscreen ini dan katanya bagus buat tipe kulitku. Buat aku yang ga pernah pake sunscreen sebelumnya, sunscreen ini benerbener ga nyaman di kulitku krn terlalu berminyak. Dipake seharian pun rasanya ganggu, jadi akhirnya ga aku pake lagi. Tapi di adik cowokku yang tipe kulitnya kombinasi bagus sih dia suka, jadi mungkin ini recommend buat yang kulitnya dry atau kombinasi!",1 week - 1 month,Shopee,agnesszhafira recommends this product!,2
72,pumebgt,30 - 34,"Dry, Medium Light, Cool",2024-07-17,"Udah pake produk ini dari jaman-jaman belum banyak variasi sunblock memang dulu variasi SPF nya gak sama, dan suka nya produk mereka banyak jenis nya sesuai dengan jenis kulit kita. Teksurnya agak cair dan mudah di blend",More than 1 year,Hypermart,pumebgt recommends this product!,5
73,silvaasurgirl,18 and Under,"Combination, Medium Light, Neutral",2024-07-17,"Ini sebenarnya bagus apalagi harganya terbilang murah, tapi di muka aku yang combi oily gak nahan minyak dan bikin agak kusam gitu. Dan yang bikin kurang nyaman itu muka aku bagian hidung jadi banyak komedo nya. tapi mungkin buat yang kulitnya kering atau normal bakalan cocok.",1 week - 1 month,Shopee,silvaasurgirl recommends this product!,3
74,shineelverdaa,19 - 24,"Combination, Medium Light, Warm",2024-07-16,"Skin aqua ini tipe sunscreen yg ga neko-neko, ga kebanyakan claim tapi protectingnya ada banget. Aku udah make dari SMA tapi on n off karna tertarik nyobain sunscreen lain yg baru keluar. Tapi tetep aja skin aqua masih salah satu yg terbaik. Ga bikin gerah/greasy di kulitku yg kombinasi cenderung oily ini. Pokoknya ok bgt",1 month - 3 months,Traditional Market,shineelverdaa recommends this product!,5
75,dayangselma,19 - 24,"Oily, Medium, Warm",2024-07-16,"udah pake sunscreen ini dari kuliah tahun 2018 - sekarang! tekstur nya super ringat di kulit, ga lengket dan cepet meresap karena water based formula 🤩cocok untuk semua jenis kulit yaaaa, kulit ku yang dari berminyak - skrg kering masih cocok pake sunscreen ini! worth to tru guys",More than 1 year,Guardian,dayangselma recommends this product!,5
76,Julyblue,19 - 24,"Oily, Light, Cool",2024-07-14,"Aduhh ini sunscreen gausah ditanya, aku si oily skin ini nyari sunscreen yang gampang nyerepp + tone up karena emang males touch up kadang, dan aku make ini dari jaman SMA awalTeksturnya cair, gampang nyerap, gampang di blend dan tone up di muka, aku biasa bisa sampe 2/3 bulan pemakaian jadi menurutku ga kecil"" banget juga botolnya",More than 1 year,Shopee,Julyblue recommends this product!,5
77,visneyni,18 and Under,"Oily, Medium Dark, Warm",2024-07-13,"Been using this sunscreen since jaman SMA. Suka dengan formula ringannya yang ga bikin oily skin makin banjir minyak, efek glowingnya bagus dan pas banget. teksturnya krim ringan dan blendable, pokoknya anti whitecast even di tanskin!! Minus dari produk ini cuma satu, baunya cukup menyengat dan kurang enak.",3 months - 6 months,Shopee,visneyni recommends this product!,4
78,sarohcute,30 - 34,"Combination, Medium, Warm",2024-07-13,"Terpesona review orang-orang, akhirnya beranikan coba. Secara tekstur sih cocok, tapi ini bikin kulit jadi gelap. Akhirnya dipakai untuk lotion tangan saja. Karena sayang sudah dibeli. Setiap kulit pasti berbeda reaksi ya. Dan inig cocok di saya",3 months - 6 months,Shopee,sarohcute recommends this product!,4
79,ginagaryn,30 - 34,"Combination, Medium Light, Warm",2024-07-10,"Tekstur cair banget,kaya susu, nyatu sama warna kulit, gampang diblend, gak whitecast, gak ada baunya sih, gampang dicari ya banyak dijual di minimarket, so far ini bisa jadi rekomendasi buat yang cari sunscreen dengan tekstur ringan ya",More than 1 year,mutiara cosmetic jogja,ginagaryn recommends this product!,5
80,delviteresa,19 - 24,"Combination, Medium Light, Warm",2024-07-10,"Sunscreen ini sebenernya cocok di aku, teksturnya oke, tapi sayangnya dia agak berat di kulit. Akhirnya aku beralih ke varian yang tutup putih yang lebih ringan dan nyaman dipakai sehari-hari. But ini worth to try kok!",3 months - 6 months,Shopee,delviteresa recommends this product!,5
81,neyzaap,19 - 24,"Combination, Medium, Neutral",2024-07-07,"Aku pake ini lebih dari 1 tahun dan bagus banget soalnya bener-bener ngaruh di aku dan engga bikin gosong atau kusam, terus jg whitecast ga terlalu nampak dan ringan banget asli, ,tekstur nyaman, terus jg harganya murah, bagi pemula bisa banget ccoba",More than 1 year,Tokopedia,neyzaap recommends this product!,5
82,its_lilly,19 - 24,"Combination, Medium Dark, Warm",2024-07-07,"Untuk texture agak cair, jadi untuk kulit berminyak agak kurang cocok karna bakal keliatan minyakan banget, tapi untuk kulit yang agak kering bagus bangett sih nyaman di pake dan ga bikin minyakan sama ga bikin jerawatan juga. Harganyajuga sangat worth it.",3 months - 6 months,Shopee,its_lilly recommends this product!,5
83,Arimbiimp,19 - 24,"Combination, Medium, Warm",2024-07-06,"Moisturizer yang cocok untuk memperbaiki skin barier, dapat membantu mengecilkan pori-pori, mengurangi minyak yang berlebihan, meratakah warna kulit, mencerahkan dan meningkatkan kekuatan skin barier. Menghilangkan bekas jerawat dan bertekstur ringan.",1 month - 3 months,Shopee,Arimbiimp recommends this product!,4
84,fellananda,19 - 24,",19 - 24",2024-07-06,"produknya baguss bangettt, cocok di kulitt akuu, nggak whitecasee, harganya affordable jugaa di kantong pelajarr, mudah dibeli di manapun jugaa, produknya sebaguss ituu, wajib banget dicobaa ngga akan nyesell pokoknyaa seriuss dehh",1 month - 3 months,Guardian,fellananda recommends this product!,5
85,salviaashafira,25 - 29,"Combination, Medium, Neutral",2024-07-05,"Aduh mau ngomng apa ya, menurutku ini tu sunscreen kecintaan dari tahun 2021. Beli ini tu karna masalah muka yang gradakan parahterus muka magrib. Setelah pake ni produk muka ku udah lebih betterdibandingkan zaman SMAdulu. Selain ngenaikin ton up juga menyembuhkanjerawat membandel",More than 1 year,FD Try and Review,salviaashafira recommends this product!,5
86,niken_dian,25 - 29,"Normal, Medium Light, Neutral",2024-07-05,Skin aqua UV moisture milk ini enak banget dipake dengan UV protecent yang dapat melindungi kulitdari paparan sinar matahari di siang hari produk ini dapat membuat kulit lembab dan tidak gampang kering. Produk ini juga gampang di aplikasikan di wajah,3 months - 6 months,Female Daily Studio,niken_dian recommends this product!,5
87,rahmacondroasih,19 - 24,"Dry, Medium Dark, Neutral",2024-07-04,"Very lightweight dan moisturizing. Kalau dipake ga berat, ga sticky, dan bisa banget diaplikasikan di bawah makeup. What I really love is that this sunscreen lasts very long karena ga perlu banyak2 produk udah cover the whole face! I love it!",6 months - 1 year,Shopee,rahmacondroasih recommends this product!,5
88,alliumhydrangea,18 and Under,"Normal, Medium, Neutral",2024-07-04,"ga ada wangi, teksturnya ringan, ga ada whitecast sama sekali, cepet nyerepnya, dan bener bener ngelembabin kalaupun ga pake moisturizer jadi menurutku ini cocok buat yang dry skin. tapi di aku yang normal skin kalo pakenya agak kebanyakan lumayan kerasa berat dan gerah, cuman ga bikin muka keliatan kusam/minyakan kok",1 week - 1 month,Shopee,alliumhydrangea recommends this product!,5
89,nelyvtr,19 - 24,"Dry, Medium Dark, Warm",2024-07-03,"Teksturnya cair gituu, pas di apply cepat nyerap, lubang tubenya juga kecil jadi mudah untuk di apply 2 jari. tapi sayangnya, aku udah coba berkali-kali pakai produk ini malah bruntusan ngga tau kenapa",1 week - 1 month,Gift,nelyvtr doesn't recommend this product!,2
90,farida15,19 - 24,"Dry, Medium Light, Neutral",2024-07-03,"Sebagai sunscreen dia cukup melindungi kulit dari sinar UV, untuk kulit kering cocok banget karna dia melembabkan ga ada whitecast dan ga patchyOiya ini waterbased jadi cepet meresap ke kulit dan bikin sunscreen ini ga berat dipakenya, bahkan ditimpa makeup pun aman banget di aku",6 months - 1 year,Alfamart,farida15 recommends this product!,5
91,DyinNie05,19 - 24,",19 - 24",2024-07-02,"Sunscreen ter debest menurutku. Harga ramah kantong dan yang pasti sangat mudah diapilakasikan diwajah, mudah menyerap dikulit, melembabkan dan tidak menimbulkan whitecast, selain itu menjauhkan wajahku dati jerawat.",More than 1 year,FD Try and Review,DyinNie05 recommends this product!,4
92,Instyani,25 - 29,"Dry, Medium Light, Cool",2024-07-02,"Produk sunscreen ini Gampang bgt nyerep dan ga bikin whitecast.. baunya jg netral, ga menyengat. Cocok sih di aku yg kulitnya dry. Sejauh ini ga bikin jerawatan, malah wajah aku jd lbh glow plus lbh lembut. Kemasannya jg kecil, jd ga beban kalau mau dibawa kmn2.",More than 1 year,Lazada,Instyani recommends this product!,5
93,Bintang11_,19 - 24,"Combination, Medium Light, Cool",2024-07-01,"Aku pake yang tutup putih, Teksturnya sangat mudah untuk di bland,  sedikit toneupnya setelah dipakai kulit jauh lebih lembab. Sangat cocok untuk kuliah aku yang sedikit kering ini hihi, sangat suka produknya!",1 month - 3 months,Shopee,Bintang11_ recommends this product!,5
94,Annisaaa2_,19 - 24,"Combination, Medium, Neutral",2024-07-01,"Aku pake lama udah lama banget dan menurutku cocok diwajah aku yang lumayan berminyak. Sunscreen yang ringan banget gak bikin dempul, harganya juga worth it isinya banyak. Wajah terasa gak pake sunscreen, lumayan cair jadi langsung nyatu di wajah",More than 1 year,Shopee,Annisaaa2_ recommends this product!,5
95,Dyunaf,18 and Under,"Normal, Light, Cool",2024-06-29,Enak bgt dipakenya ga lengket dan bisa dijadikan primer lho beli pas promo di shopee dan worth to buy bsk pengen coba ah yang warna unggunya tapi tunggu ini abis dulu semoga cocok. Pernah minta punya temen dan enak juga ternyata kek ga pernah gagal produknya,3 months - 6 months,Shopee,Dyunaf recommends this product!,5
96,sthajarnsa,18 and Under,"Oily, Medium, Neutral",2024-06-28,"salah satu sunscreen yang kusuka, dia cair diratain juga gampang tapi lumayan buat kusam after 2 jam pemakaian makanya suka aku reaply ini, tapi kalo utk dibawah makeup dia agak patch di aku, aku udah coba dikit dikit juga ttp patchy, kadang peeling juga huhu but so far untuk daily oke oke ajaa kok",1 month - 3 months,Shopee,sthajarnsa recommends this product!,4
97,dwiapriliyanii,25 - 29,"Combination, Medium Light, Neutral",2024-06-27,"Ss yang gak bikin muka aku makin berminyak, efek ngelembabinnya juga dapet banget. Juga gk bikin kulit jadi kusam, love deh pokoknya. Cocok banget di muka aku yang berminyak ini, bakalan repirchase pastii. Ngeaplikasiinnya juga enak banget wee gak perlu nyentuh tangan lagi 👏🖤",1 month - 3 months,Shopee,dwiapriliyanii recommends this product!,5
98,raniasy,19 - 24,"Oily, Medium, Warm",2024-06-26,"ini sunscreen pertama aku cocok banget buat kulit sensitif oily acneprone,teksturnya milk cair gitu aku kurang sukanya itu karena terlalu cair dan sometimes bikin muka aku kusam.Tapi mudah di blend si dan ga ada whitecastnya,ringan pas di pakai.",3 months - 6 months,Shopee,raniasy recommends this product!,5
99,crarmy,25 - 29,"Combination, Light, Cool",2024-06-25,"Teksturnya cukup cair warnanya putih susu, gaada wanginya, untuk dipakainya mudah banget diratakan, ga terlalu berat di muka, tapi lama kelamaan kulitku kelihatan kusam, untuk fungsinya sih lumayan oke, tapi krna aku jg jarang reapply jadi ya ga bener2 terlindungi",1 month - 3 months,Transmart,crarmy recommends this product!,4
100,bellenfasya,19 - 24,"Combination, Medium, Neutral",2024-06-23,"suncreen super ringannn yang selalu aku pakee kemana-mana, ga perih dan meresap banget kemuka, ga white case, packaging nya super cutie dan ringkes jadi bisa dibawa-bawa, harga juga affordable bgt utk kaum pelajar, bikin wajah jadi super glowingg dan pedee banget kalo keluar ga pake make up💕, muka aku beneran ga belang dan meminimalisir lebih sedikit pertumbuhan jerawat karna bakteri di debu, bikin muka lembab selalu dan lembut banget. recommend banget untuk yg masih bingung nyari sunscreen harga affordable tapi kualitas mantep banget!",More than 1 year,Guardian,bellenfasya recommends this product!,5
101,KSHandayani,30 - 34,"Oily, Light, Cool",2024-06-22,Tekstur cair namun berminyakwalaupun mudah diratakan. Kurang cocok untuk kulit berminyak. Tidak menimbulkan break outdan tidak ada wangi yang mengganggu. Botolnya agak sulit dikeluarkan isinya kalau sudah sedikit karena tidak lentur.,1 month - 3 months,Shopee,KSHandayani recommends this product!,3
102,NatashaMargaretha,19 - 24,"Combination, Medium Light, Cool",2024-06-22,"aku pake ini udah lama bgt dr jaman sma kyknyaa aku cukup suka dgn sunscreen ini karena teksturnya tuh cair, light, gampang meresap. awal2 kyk ada efek tone up nya tapi ntah knp klo stlh brpa lama tuh bikin muka kyk minyakan dan kusam?? gapaham juga sih knpa tp skrg aku udh gamake ini lagii",6 months - 1 year,Shopee,NatashaMargaretha doesn't recommend this product!,3
103,Sriiwahyuni,19 - 24,"Combination, Medium Light, Neutral",2024-06-21,"Pernah pake ini cuman aku gak pake lama karena kurang cocok di kulit aku￼, Dia Teksturnya lebih ke cair dan cepat merasa aku suka sama Teksturnya dan enggak ngeganggu untuk￼ bau dan teksturnya sangat aman di kulit. Packagingnya juga sangat baik🌟",1 month - 3 months,Shopee,Sriiwahyuni recommends this product!,4
104,indrinaZoel,25 - 29,"Combination, Light, Cool",2024-06-20,"Awal kenal suncreen saya pakai suncreen skinaqua yg biru ini, cocok diwajah saya, gak bikin jerawatan dan gak bikin kusam juga, tapi yang saya kurang suka dari produk ini bikin kulit wajah saya berminyak selebihnya aman diwajah sayaHarganya juga Worthit Untuk teksturnya agak cair dan berwarna putih",6 months - 1 year,Shopee,indrinaZoel recommends this product!,4
105,chiarararara,19 - 24,"Dry, Medium Light, Neutral",2024-06-20,"Sunscreen ini waktu dipake sendiri dia bener-bener kerasa ringan di kulit aku yang kering, teksturnya juga cair jadi somehow ngga bikin whitecast, tapi sayang kalau ditimpa pake make-up entah kenapa bikin kulit aku patchy dan mengelupas, terutama di bagian U-zone aku yang emang dia kering parah :(",1 month - 3 months,Shopee,chiarararara recommends this product!,4
106,shintakhrnnsa,19 - 24,",19 - 24",2024-06-18,"Teksturnya cair enak banget dipake nya. Gada bikin dempul dan ga abu-abu. Ringan ga lengket dan nyaman digunakan sehari-hari apalagi diatas makeup. Pokoknya bagus, tinggal disesuaikan aja ya sama jenis kulit 😻",More than 1 year,Shopee,shintakhrnnsa recommends this product!,5
107,noviatriii,19 - 24,"Normal, Medium, Neutral",2024-06-17,"Bagus sih bikin glowing gitu, gak bikin perih juga, harganya pun masuk di aku. Sayangnya dia bikin mukaku berminyak bangeeeetttt huhuhu trs agak kusam juga. Nah glowingnya tadi lama lama jadi hinyai karena berminyak :(",Less than 1 week,Gift,noviatriii doesn't recommend this product!,3
108,Astridssan,25 - 29,"Dry, Medium Dark, Warm",2024-06-16,"Di kulitku engga cocok, jadi sangat berminyak. No white cast, easy to blend, tapi agak lama meresapnya, ada sensasi lengketnya padahal sudah dikeringkan. Harga murah lah ya, mungkin cocok di jenis kulit yg lain.",1 month - 3 months,Shopee,Astridssan doesn't recommend this product!,3
109,anakbarbar123,18 and Under,"Combination, Medium Light, Neutral",2024-06-15,"Pake ini dari jaman SMP sampai kuliah. Untuk varian ini dia ringan bangettt tapi emang kurang untuk nahan minyak di aku. Ga bikin breakout atau bruntusan, in fact ini malah sunscreen yang aku pake yang bisa bantu sembuhin breakout dan bruntusan aku. Kerasa banget hidrasinya kalo pake ini. Cuma emng masih belum bisa nahan minyak especially di tempat tropis ini😞😞.",More than 1 year,Guardian,anakbarbar123 recommends this product!,5
110,Espresso,19 - 24,"Oily, Medium Light, Neutral",2024-06-13,"Sunscreen yang teksturnya creamy, lightweight dan easy to blend. Tapi menurutku agak lengket, kadang meninggalkan residu dan lama-kelamaan membuat kulit jadi kusam. Kalau mau dipakai harus selalu dikocok terlebih dahulu supaya isinya tercampur rata. Harganya affordable untuk sunscreen dengan SPF 50+ PA+++. Repurchase? No, sorry 😔",3 months - 6 months,Hypermart,Espresso doesn't recommend this product!,3
111,fainunnisa,19 - 24,"Combination, Medium, Neutral",2024-06-13,"udah pake bertahun-tahun, teksturnya agak kental tapi gampang bgt diblend, terus dia sesuai namanya juga karna lebih bikin melembapkan muka (karna skin type aku kombinasi jadi perlu melembapkan yang bagian kering), untuk proteksinya oke banget",More than 1 year,Shopee,fainunnisa recommends this product!,5
112,antinnovitaa,19 - 24,"Combination, Medium, Warm",2024-06-12,"Teksturnya agak cair enak cuma agak white cast sedikit, moist banget harus rata pakainya karna kulit ki kombinasi jadi agak oily di bagian hidung setelah pemakaian berjam jam, worth to buy sih menurutku",More than 1 year,Indomaret,antinnovitaa recommends this product!,4
113,AshielaPA,19 - 24,"Dry, Medium Light, Neutral",2024-06-12,"Sunscreen kedua (dan mungkin jadi zona nyaman) yang aku pakai. Dari 2022 udah gak kehitung berapa botol. Pokoknya lebih dari 10 deh. Dari segi proteksi emang kurang walau udah pakai 2 jari, tapi aku tetep suka karena dia enggak nyebabin break out. Agak tricky biar enggak greasy. Dia good as primer dan cakep banget buat make up aku. Gak akan beralih, mungkin cuma nyoba2 dikit hehe. Recommend!",More than 1 year,Shopee,AshielaPA recommends this product!,5
114,miranti_va,25 - 29,"Combination, Light, Neutral",2024-06-11,"Tipe sunscreen yang lightweigh banget, mudah bgt di apply dan ga lengket.Ak suka bgt pake ini krn even di leher tu gaada lengket, ga ketebelan, d timpah makeup jg msh oke.Tapi kayakny protection ny ga se tokcer itu ya, mungkin krn tekstur ny cair jd wktu d apply cnderung tipis(?) jd harus rajin2 reapply",More than 1 year,Guardian,miranti_va recommends this product!,4
115,Azizahferaa,19 - 24,"Combination, Medium Light, Neutral",2024-06-10,"salah satu sunscreen yang aku pake dari jaman SMA, dia tipe2 sunscreen yg harus di kocok dulu sebelum dipakai, dan superr light yaa texturenya!Kalo dibandingin seriesnya yg lain paling cocok sama yg spf 50 ini. Poin plusnya dia kalau dipakein makeup ga bikin peeeling. Jadi overall sukaa! (Tips: tp harus nunggu kering dulu yaaaah)",6 months - 1 year,Watson,Azizahferaa recommends this product!,4
116,agytaria,19 - 24,",19 - 24",2024-06-09,Sunscreen ini ringan bgt dan minim bgt white cast dan bikin muka aku cerah bgtt setelah make ini jadi anti kusam pastinya dan pasti nya udah spf 50 yang cocok bgt buat aku yang tinggal di daerah yang super panas ini. Dan product ini sangat cocok buat kulit aku yang sensitif,More than 1 year,Shopee,agytaria recommends this product!,5
117,hnaprs,19 - 24,"Dry, Medium, Neutral",2024-06-09,"Agak membuat kusam setelah pemakaian lebih dari 5 jam, tapi overall menahan dari sinar matahari. Spf 50 tidak cocok untuk di kulit saya yang kering, ada spf yang cocok untuk kulit kering namun spf nya hanya 25 saja dimana sangat kurang untuk menahan kulit dari sinar matahari.",3 months - 6 months,Shopee,hnaprs doesn't recommend this product!,3
118,NatashF,25 - 29,"Combination, Medium Dark, Warm",2024-06-08,"Menurut aku tuh sunscreen skin Aqua the best banget sih, dia gampang di aplikasiin ke muka dan mudah di bawa kemana mana kemasannya, terus juga tidak lengket dikulit, ngga buat muka jadi kusam dan berminyak, harganya terjangkau di kantong. pokonya the best",1 month - 3 months,Shopee,NatashF recommends this product!,5
119,aliciaharis,19 - 24,",19 - 24",2024-06-08,"Skin Aqua UV Moisture Gel ini cocok untuk kamu dengan tipe kulit berminyak atau kombinasi. Karena berbahan dasar air dan teksturnya yang seperti gel, penyerapannya sangat mudah dan ringan diwajah.Teksturnya ringan, mudah meresap, dan cocok untuk semua jenis kulit.",1 month - 3 months,FD Try and Review,aliciaharis recommends this product!,5
120,pipicholoooo,19 - 24,"Oily, Dark, Neutral",2024-06-07,"aku suka pake ini, dia texturenya watery base banget, cocok untuk yang kering, tapi aku dulu pake ini juga karena baguss, dia ada kandungan susunya, aku oily skin tapi aku pake ini ko udh lumayan lama dari aku smk kelas 2 sampe 2022 aku pakenya love banget",3 months - 6 months,Shopee,pipicholoooo recommends this product!,4
121,biyah0208,19 - 24,"Combination, Medium Dark, Cool",2024-06-07,"produck ini aku sudah habis 2 botol kalo pagi pake skincare terus kena matahari jadi berminyak parah sampe nempel di hijab minyaknya dan ternyata salah satu faktornya karna sunscreen ini, walaupun di wajah ku tidak menimbulkan jerawat tapi super duper berminyak dan ngebuat komedoan.",1 month - 3 months,Shopee,biyah0208 recommends this product!,3
122,ZahraNadyya,19 - 24,"Combination, Medium, Neutral",2024-06-06,"Sunscreen ternyaman yang pernah di pakai dan ke wajah bikin aman bangettt, ga bikin white case,akhirnyaamenemukan sunscreen yang cocok setelah berkelana memakai beberapa produk sunscreen dan selaluuu ga cocok dan ga nyaman. Pokokknya sunscreen ini recommemdeddd bgt😍",More than 1 year,Shopee,ZahraNadyya recommends this product!,5
123,dwiyantinur,19 - 24,"Dry, Medium, Neutral",2024-06-06,Sunscreen terlama yang aku pake karena sangat affordable dan okeee banget dipakenya. Suka banget pake sunscreen yang spf 50 karena aku naik motor setiap hari. Okee bangett pokoknyaa. Nanti mau repurchase lagiiii setelah ini. Rekomen bgt guys,More than 1 year,Shopee,dwiyantinur recommends this product!,5
124,shelmon,19 - 24,",19 - 24",2024-06-05,"Udah 2 tahun gada niatan mau ganti sunscreen, karena cuma skin aqua jodoh aku tuuh, ga withcase bikin tone up, dan tetep lembab. Ga ngaruh sama brand brand fomo. Apalagi skin Aqua harganya sangat cocok buat kantong ku yg masih pelajar ini hehehe",More than 1 year,Official Brand Store,shelmon recommends this product!,5
125,Devindaocta,18 and Under,"Normal, Medium Light, Cool",2024-06-05,"aku pake inii sudahh dari smp emang sebagus itu, apalagi yg tutupnya putih, muka kita jadi kelitan lebih cerahh, teksturnya cairr tp sebelum kalian apply harus kocok dulu sunscreennya, aromanya ya gawangi ya temen2 harganya kantong pelajar bangett kalo buat hasil pemakaiannya muka kalian lebih cerah n glowing💗",Less than 1 week,Instagram,Devindaocta recommends this product!,5
126,izzasalsabila,19 - 24,"Normal, Medium Dark, Warm",2024-06-04,"buat kulit aku yg kering aku lebih suka pake si skinaqua yg tutup biru ini dibanding sama yg tutup putih, ini bikin kulit lembab dan ga bikin peeling pas pake make up, beda banget klo pke yg tutup putih dia pasti peeling dan hasil nya matte gituu",1 month - 3 months,Shopee,izzasalsabila recommends this product!,5
127,Miletresia,19 - 24,"Combination, Light, Warm",2024-06-04,"Biasanya aku pake ini pas pagi sebelum berangkat kantor teksturnya gak lengket, cepat menyerap. Kadang pakai ini gaperlu lagi pake moisturizer, sejauh ini cocok dikulitku yg kombinasi atau pas kering. Reaply juga gak susah. Cuma mngkn kalau pas mah habis agak susah pencet produknya",More than 1 year,Shopee,Miletresia recommends this product!,5
128,litzve,25 - 29,"Dry, Medium, Warm",2024-06-03,"Awal pake rasanya ringan banget dan di kulitku ya g kering ga bikin keliatan berminyak, tapi lama-lama pake kok mulai muncul flek hitam, jadi rasanya kaya ga pake sunscreen. Tricky banget kalo mau dijadiin base make up, sering longaor",1 week - 1 month,Shopee,litzve doesn't recommend this product!,3
129,alifiaraaaa,19 - 24,"Oily, Medium Dark, Warm",2024-06-02,"My second sunscreen I've ever tried.dia watery gitu,gampang banget ngeresap nya.lumayan suka karena texture nya yg mantep parah si, cuman lagi2 bruntusan di aku huhuhu. At first, it worked well on my face, and then after a week, I found a few pimples🥲. Aku masih positive thinking mungkin penyebabnya bukan ini. Tapi pas akhirnya aku coba berenti, jerawat aku reda 😭 so... I'm sorry for this one :'( 5/10",1 week - 1 month,Shopee,alifiaraaaa recommends this product!,3
130,moonjuice,19 - 24,"Combination, Medium Light, Neutral",2024-06-02,"buat aku yang masih sekolah, menurut ku cukup ringan dan agak ngasih efek glowing nya juga, tapi lama kelamaan bakal agak kusem tapi over all bagus di kulit aku yang combi dan waktu itu lagi jerawatan juga",More than 1 year,Shopee,moonjuice recommends this product!,5
131,wandasepta,30 - 34,"Normal, Medium, Cool",2024-05-27,"Salah satu sunscreen kesukaanku. Tidak whitecast, tidak memiliki wangi menyengat. Kekurangannya hanya teksturnya terlalu cair, jadi terkadang terlalu banyak yg keluar daripada yg dibutuhkan. Harganya juga masih sangat reasonable",1 month - 3 months,Tokopedia,wandasepta recommends this product!,4
132,nailahilha,19 - 24,"Oily, Light, Cool",2024-05-27,"My first and only one Sunscreen yang aku pake sejak kelas 2 SMA dan sekrg udah -+ 7 tahunan. Yg awalnya muka belang karena hijaban all day, akhirnya mulai nyari SS, dan akhirnya Nemu SS ini, setelah pke warna muka udah mulai merata dan smpe skrg gak ada lagi yang namanya muka belang. Teksturnya cair, jadi gampang di blend, gak ninggalin white cast sama sekali, dan sangat baik menjaga skin barrier aku, sejak SMA dan pke ini udah jarang banget jerawatan, pdhl tipe yang males pke skincare macam², cuma gak pernah absen buat pke SS ini tiap hari. Tapi karena aku tipe orang yg gampang keringatan apalagi di dahi, kadang klo kena mata malah jadinya perihh banget. Pokoknya aku pke ini smpe gak ada niatan buat ngelirik produk SS lain. Secinta itu gw 🥰",More than 1 year,Guardian,nailahilha recommends this product!,5
133,sekarnhl,19 - 24,"Dry, Light, Neutral",2024-05-26,"Pakai ini awal2 kuliah yang harus panas2an di jalan, dan sayangnya kurang nampol sih di aku? Kayak tetep aja geseng meskipun udah pakai lumayan tebal dan reapply. Terus di wajah rasanya matte, dan gak buat whitecast gitu karena dia lumayan sheer gitu. Mungkin akan cocok sama yang punya kulit berminyak ya, karena mine is dry. Repurchase? No",More than 1 year,Shopee,sekarnhl recommends this product!,3
134,salsabilanailadila,19 - 24,"Dry, Medium, Warm",2024-05-23,"Sunscreen ini cocok untuk kulitku yang normal to dry karena super melembabkan. Sayangnya dia membuat kulit terlihat kusam, jadi harus ditimpa bedak. Buat yang nggak suka pakai bedak, better pilih yang tutup putih aja.",More than 1 year,Shopee,salsabilanailadila recommends this product!,4
