username,skintype,date,review_content,purchase_point,rating,Jenis_Produk,trend,age_category,periode_penggunaan,Recommend,skintone,undertone
nurultikaa,Normal,2024-11-08,"Akhirnya aku ketemu dengan ss yang cocok dikulitku, btw tipe kulitku normal to dry. Sunscreen azarine mngandung serum dengan spf 50+++ yg bagus utk melindungi kulit dari paparan sinar matahari. Di aku selama 4 bulan pemakaian kulit ku jadi sehat, lembab dan glowwing.",Official Brand Store,5,Azarine Hydramax C Sunscreen Serum,51,dewasa muda,Jangka Pendek,recommend,Medium,Neutral
Sanarooo,Dry,2024-11-03,"Cocok untuk kulit kering dan kombinasi, ringan dibawa pada saat berpergian, tekstur formula ringan dan tidak sulit untuk diaplikasikan. Harga terjangkau dan mudah didapatkan dimana saja. Re-applay 2-3 jam sekali. Mampu membuat kulit terasa plumpy. Rekomendasi",Shopee,5,Azarine Hydramax C Sunscreen Serum,59,dewasa muda,Jangka Panjang,recommend,Medium,Neutral
nabills21,Oily,2024-11-02,"sunscreen azarine yang satu ini baguss bangeett sumpahh, melembabkan kulit, teksturnya gel tapi cepat bangett meresap nyaa dan ga bikin lengket, ringan parahh. spf nya 50PA++++😍🫶🏻 ada efek tone up nya sedikit ga buat muka putih” bgt lah ya, finish nya bikin muka glowly🫶🏻",Shopee,5,Azarine Hydramax C Sunscreen Serum,56,dewasa muda,Jangka Menengah,recommend,Medium Light,Neutral
yunnikeee,Oily,2024-11-01,serum vit c ga cocok di aku tapi malah cocok pake sunscreen yg ada vit c nyaa👏🏻👏🏻 kalo mau pake ini harus siap” punya wajah lebih cerah soalnya vit c nya kayak bikin tone up gitu diwajah cuma masih aman kokk dan produk ini juga gampang meresap jadi enak dipakenya,Shopee,4,Azarine Hydramax C Sunscreen Serum,45,dewasa muda,Jangka Pendek,recommend,Medium Light,Neutral
lisanvra,Dry,2024-11-17,"Selama aku pake sunscreen ini selama kurleb 2 tahun diaku ini oke banget. Apalagi buat tipe kulit kayak aku yang dry, ini ga bikin tambah kering. Sukanya dia gaada wanginya jadi ga mengganggu, no whitecast, dan juga diaku produk ini cepat meresap. So highly recommended👍🏻",XBeauty by Female Daily,5,Azarine Hydramax C Sunscreen Serum,60,dewasa muda,Jangka Panjang,recommend,Light,Neutral
nasywahfajri,Combination,2024-10-18,"untuk suncreen azarine satu ini, jujur ngga cocok di kulit gua, gatau kenapa. gua bahkan pernah hampir kebayang sama produk ini sampe berhari-hari, eh malah ga cocok. gua berharap banget sama kandungan vit c nya, tapi syaang di gua ga berjodoh:( apalagi pas pulangsekolah terus deoble cleansing kan, sumpah kotor nya tuh banget pokoknya beda sama suncreen azarine varian lain, pake ini juga malah ada jerawat, sayang sekali ngga jodoh ya haha, tapi selama pemakaian ngga ngerasa berat walaupun spf 50, tapi ya gitu lah, bikin kusam juga. pokoknya ga cocok deh, sorry azarine",Instagram,2,Azarine Hydramax C Sunscreen Serum,45,remaja,Jangka Menengah,not recommend,Medium,Neutral
Chloe25,Combination,2024-10-07,"Sunscreen dari azarine ini emang the best lah. Aku baru nemuin sunscreen yang ketahanannya sebagus ini, pokoknya engga takut belang lagi. Teksturnya yang creamy dan tidak menyengat sama sekali. Perlindungan maksimal dengan 3 ruas jari. Aku tuh paling suka sama sunscreen yg ukurannya medium kek gini.",Traditional Market,5,Azarine Hydramax C Sunscreen Serum,47,dewasa muda,Jangka Pendek,recommend,Medium,Neutral
lanyeu,Normal,2024-10-05,"Udah dari lama pake hidramax c sunscreen dari azarine. Sesuka itu, karena cepet kering dan gak bikin whitecast. type kulitku juga normal to dry, jadi pas banget kalo pake sunscreen ini. nyaman banget buat dipake sehari-hari tuh",Shopee,5,Azarine Hydramax C Sunscreen Serum,79,dewasa muda,Jangka Menengah,recommend,Medium Dark,Neutral
Lixx,Combination,2024-09-27,"Ringan banget!! Terus gampang di blend juga, ga bikin keset sama ga bikin lengket. Gampang banget dicari produknya, kalau habis restocknya cepet pake banget banget. Affordable sangat! Salah satu sunscreen paling worth dengan spf tinggi!",Shopee,5,Azarine Hydramax C Sunscreen Serum,66,dewasa muda,Jangka Panjang,recommend,Medium Dark,Neutral
miyah,Combination,2024-10-23,"sesuka itu sama sunscreen ini, selalu repurchase, spf-nya 50 PA++++ proteksi full buat yang mau aktivitas outdoor, tetep wajib reapply yaaacocok buat yang punya kulit kering, bikin glowing tapi gak bikin kusam,luv ❤️",Shopee,5,Azarine Hydramax C Sunscreen Serum,55,dewasa matang,Jangka Panjang,recommend,Medium,Neutral
anandaaa_nur21,Oily,2024-09-12,"Awal make azarine bener-bener bagus karena skin type ku oily, yang punya oily skin cocok bgt sih azarine iniiii. Ga ada whitecast pula,,, harganya cocok bgt buat kantong pelajar... Recommended this product",Shopee,5,Azarine Hydrashoote Sunscreen Gel,41,dewasa muda,Jangka Menengah,recommend,Medium,Neutral
vik_olive,Oily,2024-09-19,"Saat jerawatan parah, cb pakai ss ini karena uda bingung mau pakai apa (ada yg ngasih rekomendasi jg sih)., Saat dipakai ga lengket samsek, cepat meresap, ga bikin kulit belang, ga kusam, pdhl wajah ini berminyak.. Jerawat perlahan hilang. Terima kasih bgt sm owner ss ini🫰🏼Harganya juga terjangkau❤️",Official Brand Store,5,Azarine Hydrashoote Sunscreen Gel,56,dewasa muda,Jangka Menengah,recommend,Medium,Neutral
Annisafirda13,Oily,2024-09-19,worth dengan harga se affordable itu..utk oily skin oke ya ngga bikin pori2 tersumbat dan acne...Ngga ada hint glow krna lebih ke matte sih menurutkuCepet kering juga diwajahso far bakal repurchase,FD Try and Review,5,Azarine Hydrashoote Sunscreen Gel,56,dewasa matang,Jangka Panjang,recommend,Medium Light,Neutral
andierrina12,Combination,2024-09-18,"sunscreen lokal yang mudah didapat di offline store, mengandung ekstrak alami yang bermanfaat bagi kulit wajah, seperti Royal Jelly untuk meningkatkan produksi kolagen, vit. c, hyaluronic acid, ceramide, dan centella asiatica.Sunscreen lokal satu ini sempat booming di berbagai media sosial berkat finishnya yang matte namun cepat meresap kekulit.sangat rekomendasi♡",Indomaret,5,Azarine Hydrashoote Sunscreen Gel,55,dewasa muda,Jangka Menengah,recommend,Medium Light,Cool
Dellalizaa,Oily,2024-09-18,"Approve bgttt, udah 2 tahunan pake ini gapernah tergoda sama ss yang lain. Ingredients nya ga aneh-aneh dan udah cocok bgt di kulit aku, azarine juga sekarang udah banyak ngeluarin jenis sunscreen but if you ask for reccomend the answer is si hijau iniii 💚💚No complain good job azarine",Shopee,5,Azarine Hydrashoote Sunscreen Gel,55,dewasa muda,Jangka Panjang,recommend,Medium,Neutral
Ekahnf04,Normal,2024-09-16,"Sunscreennya ngga bikin kusam dan nyaman banget dipake😍, ngga bikin muka jd oily dan ngga bikin kering jugaa super ringannRecommended bgt untuk kalian yg baru mau nyobain suncreen, aku udh pake sebulanan dan bruntusan jd berkurang, luvvvv bgtt bgttt",FD Try and Review,5,Azarine Hydrashoote Sunscreen Gel,69,dewasa muda,Jangka Pendek,recommend,Medium,Neutral
mphiiw,Oily,2024-09-17,Salah satu sunscreen favorit karna tidak membuat kulit berminyak selain itu mudah menyerap dan gampang di dapat di offline store.. Sudah lebih dari 6 bulan pakai sunscreen alhamdulillah tidak brakeout..,Shopee,5,Azarine Hydrashoote Sunscreen Gel,53,dewasa matang,Jangka Menengah,recommend,Medium,Neutral
intennsaputri,Combination,2024-09-14,"sunscreen gel ini teksturnya ringan, cepat meresap, ga ada efek tone up di aku, adem pas di apply, dan ga buat kulit kusam. setau aku dia termasuk chemical yah tapi untuk kulit combine kaya aku dia masih aman sih pas aku timpa makeup sunscreen ini ga buat longsor",Indomaret,5,Azarine Hydrashoote Sunscreen Gel,64,dewasa muda,Jangka Pendek,recommend,Medium,Warm
Azeezahaw,Dry,2024-09-13,"Jadi tahu sih alasan kenapa sunscreen satu ini dulu sangat viral. Baru nyobain dan langsung suka. Teksturnya kaya pelembab, cepet nyerap, no whitecast, dan ada sensasi dinginya, aman dibawah makeup dan nggak peeling definisi nyenengin dan nggak neko-neko, dan yang bikin seneng lagi adalah harganya affordable dan masuk dikantong pelajar. Aku udah repurchase berkali-kali. Luv grab yours!!",Shopee,5,Azarine Hydrashoote Sunscreen Gel,37,dewasa muda,Jangka Menengah,recommend,Light,Neutral
ainun_dahlia,Dry,2024-09-20,"Dari SMA udah pake sunscreen tapi selalu ngerasa gk cocok karna bikin kusam, awalnya coba punya temen sunscreen azarinne ini finishnya mate gk bikin kusam gt jadi sampe sekarang pakenya azarine terus gamau coba yang lain karna takut 😅",FD Flash Sale,5,Azarine Hydrashoote Sunscreen Gel,38,dewasa muda,Jangka Menengah,recommend,Medium,Neutral
najwfahr,Combination,2024-09-17,"setelah aku coba ss azarine ini, gapernah lagi aku berpaling, tekstur oke, lembab iya, harganya juga masih di kantong pelajar, tapi kalo dipake di bawah makeup kadang bikin cakey, jadi harus tunggu nge set dulu, overall i loved it",Shopee,5,Azarine Hydrashoote Sunscreen Gel,53,remaja,Jangka Panjang,recommend,Medium Light,Neutral
dindaannnisa,Oily,2024-09-20,nemu sunscreen azarine hydrasoothe seneng banget ngefek banget di aku dan dia ga komedogenic tekstur gel cepet nyerap aku pernah dulu setelah cocok pakai ini sempet ganti sunscreen tapi ga cocok kusem dan muncul chicken skin setelah aku pakai ini lagi nampak sperti dlu cerahan dan dia bisa ngilangin efek chicken skin karena ga cocok sama sunscreen yang aku sempet ganti. sekian terimakasih,Traditional Market,5,Azarine Hydrashoote Sunscreen Gel,38,dewasa muda,Jangka Menengah,recommend,Medium,Neutral
Ochoca95,Combination,2024-09-23,"Kalo udah bingung mau beli sunscreen apalagi, yaudah auto beli ini. Enak banget, cepet banget meresap di kulit, minim whitecast, aman gak berminyak juga kalo udah siang. Dah gak keitung berapa kali repurchase, even mamaku juga suka 😂",Shopee,5,Azarine Hydrashoote Sunscreen Gel,49,dewasa muda,Jangka Panjang,recommend,Medium Dark,Neutral
pioyuppi,Dry,2024-09-21,"Sunscreen ini sangat terjangkau dan mudah ditemukan dimana aja, yg aku suka karena mudah banget nih nyerap ke kulit jadi g nunggu waktu lama lagi buat make up, selain itu cocok di jenis kulit apapun, karena temenku yg beda jenis denganku pun juga pakai ini. Minusnya harus sering banget reapply karena cepet ilang sepertinya kena keringat atau kena air, jadi efek perlindungannya untuk jangka waktu lama kurang maksimal ya",Indomaret,3,Azarine Hydrashoote Sunscreen Gel,61,dewasa muda,Jangka Pendek,recommend,Medium,Neutral
nurintan77,Normal,2024-09-22,"sudah lama tidak menggunakan produk ini.. sunscreen dari Azarine ini lumayan bagus dan cocok juga untuk pemakaian sehari-hari, tapi menurutku sunscreen ini membuat kulitku menjadi agak gelap setelah memakainya untuk kelembabannya oke siii tidak meningalkan white case ke wajah.",Brand Website,4,Azarine Hydrashoote Sunscreen Gel,44,dewasa muda,Jangka Pendek,recommend,Light,Neutral
Citradesiani,Combination,2024-09-23,"Sunscreen gel Azarine ini enak banget dipakenya. Nggak ada white cast, dingin, cocok dipake di udara yang panas, gampang di blend dan bisa nyatu sama cushion/foundation lainnya. Rekomended sih, patut untuk di coba. Harganya juga cukup ekonomis",Shopee,5,Azarine Hydrashoote Sunscreen Gel,49,dewasa matang,Jangka Menengah,recommend,Medium,Warm
ekklesiaeunikelase,Dry,2024-09-12,"My fav sunscreen so far. Teksturnya super ringan, ga sticky, gampang banget nyerep ke kulit wajah jadi ga ninggalin whitecast juga. Trus yang paling bikin aku seneng dari ss ini adalah dia ga bikin kulit aku keliatan kusam sama sekali. Oh iya, setauku ss ini cocok juga buat yang punya kulit sensitif, karena ga mengandung fragrance & alcohol 💗💗",Shopee,5,Azarine Hydrashoote Sunscreen Gel,41,dewasa muda,Jangka Menengah,recommend,Medium,Neutral
adindaptrasyh,Oily,2024-09-24,"aku nyoba ini karena kepo aja apa bedanya sama yg cream, ternyata yang gel ini itu lebih gampang di blend & nyerap terus ada cooling sensationnya setelah make, bagus buat skinprep sebelum make up dan obviously ga ada white castnya hehe, kayanya aku lebih suka yg ini sih daripada yg cream",Official Brand Store,4,Azarine Hydrashoote Sunscreen Gel,39,dewasa muda,Jangka Menengah,recommend,Medium,Warm
Natasya_04,Combination,2024-09-24,Sunscreen azarin salah satu myg fav ss yang aku pake. Dia miliki tekstur kaya gel. Ss nya nyaman di pake aman untuk kulit aku yg sensitif dan tipe kombinasi. Gampang nyerep dan ga menimbulkan whitecase. Harganya pun ramah di kantong anak kos,Shopee,5,Azarine Hydrashoote Sunscreen Gel,39,paruh baya,Jangka Pendek,recommend,Medium,Neutral
namiranurfaliani,Combination,2024-09-25,"Sunscreen ini menurut aku ter the best sih, karena ga bikin white case sama sekali, terus ngelembapin kulit juga, dan ga buat wajah aku iritasi. Pokoknya aku cocok banget pake produk ini sampe udh abis 5 bottle karena sakinh cocoknya sama muka aku",Brand Website,5,Azarine Hydrashoote Sunscreen Gel,44,dewasa muda,Jangka Panjang,recommend,Medium Light,Neutral
wieline,Oily,2024-09-25,"Teksturnya sangat enak, tidak lengket dan tidak bikin whitecase juga, harganya sangat worth it bgt untuk pelajar dan mudah untuk dijangkau di toko manapun!! pakai ini sudah dari SMA dan sampai sekarang masih pakai, pakai nya setiap hari. love bgt💖",Traditional Market,5,Azarine Hydrashoote Sunscreen Gel,44,dewasa muda,Jangka Panjang,recommend,Medium Light,Cool
rinasusila13,Combination,2024-09-26,"beliin ss ini buat suami lumayan ringan harga juga murah ya intinya mesti apply sering sih kaya suami aku yg kadang kerja outdoor dan indor gt, so far bagus mayan bisa bersaing lah dengan seatara nya...",Shopee,3,Azarine Hydrashoote Sunscreen Gel,41,dewasa muda,Jangka Menengah,recommend,Medium Light,Cool
Alkadiena,Oily,2024-09-26,"Produk tidak lengket, tidak whitecase, nyaman, cocok untuk kulitku yang kemerahan dan berminyak, harga terjangkau, banyak pilihan untul jenik kulit, kemasan juga mudah dibawa kemana mana mau pakai tas kecil atau tas besar, reaplly mudah💕",Traditional Market,5,Azarine Hydrashoote Sunscreen Gel,41,dewasa muda,Jangka Menengah,recommend,Medium,Neutral
radiinkh,Oily,2024-09-27,buat oily and combi skin kaya aku udah nyoba berbagai sunscreen tetep inisih yg paling oke di kulit karna texturenya jg RINGAN dan gampang nyerap🤩👍🏻 spf 45 juga aslinya lebih tapi tetep ga bikin muka kusemmm thats why kalian harus coba sihhhhh,Female Daily Event,5,Azarine Hydrashoote Sunscreen Gel,66,dewasa muda,Jangka Menengah,recommend,Medium Light,Neutral
Qiess,Normal,2024-09-27,"Berdasarkan rekomendasi dari temen2 ku untuk gunain sunscreen ini. Dari segi tekstur sangat ringan, no whitecast, agak sedikit kental (tidak watery). Harga sangat sesuai dengan kualitas. Tapi sayangnya di kulitku yang combination (oily dan dry) itu gak cocok :(.",Shopee,3,Azarine Hydrashoote Sunscreen Gel,66,dewasa muda,Jangka Pendek,recommend,Light,Cool
meimeithekid,Oily,2024-09-21,"Udah lama banget pakai ini dari jaman SMP. LOVEEEEE, matte yang nyaman di oily skin. Gak bikin breakout tpi gal bikin jerawatku mendingan juga. Pokoknya sangat status quo ini. Sayangnya dia bikin kusam kalau udah berjam-jam, tapi aku tetap bertahan karena takut mau ganti sunscreen. Ya emang minusnya itu doang sih: bikin kusam. Spf nya mantep dan riil, sekarang aku pakai skin aqua tutup ijo.",Sephora,4,Azarine Hydrashoote Sunscreen Gel,61,remaja,Jangka Panjang,recommend,Medium Light,Warm
faiza02,Oily,2024-09-11,"Sunscreennya bagus bett, ngak lengket sama sekali. Seminggu pake lansung ada perubahan di face aku. Yang awalnya berbinyak, jadi kurang berminyak dan bruntusan aku pun jadi ngak jelas. Pokoknya sunscreen azzarine ini emang best sunscreen menurut aku",Brand Website,5,Azarine Hydrashoote Sunscreen Gel,50,dewasa muda,Jangka Pendek,recommend,Medium Dark,Neutral
alifyayuniar,Oily,2024-09-07,"Local pride user harus coba ini. Sunscreen nya bagus, gak lengket, mudah menyerap juga, gampang di apply cocok banget buat yang muka nya oily kaya aku. Untuk daily ini cocok banget gak ninggalin whitecast.",Shopee,5,Azarine Hydrashoote Sunscreen Gel,50,dewasa muda,Jangka Menengah,recommend,Medium,Neutral
Julyblue,Oily,2024-09-10,"Teksturnya gel jadi cocok buat yang nyari sunscreen tapi gampang nyerap, as honest review azarine in agak perih Dimata apalagi pas kena air atau keringet, mata aku yang sensitif langsung kelabakan. Jadi ngga aku Purchase lagi karena kurang cocok",Shopee,2,Azarine Hydrashoote Sunscreen Gel,62,dewasa muda,Jangka Menengah,not recommend,Light,Cool
Jannifer0201,Combination,2024-09-28,Pakai dan rasakan manfaaat dariAzarine cosmetic hydrasoothe suncreen gel spf 45+++Dipakai sehari hari dan aman untuk kulit sensitif tidak lengket dan lembut saat digunakanYuk coba pakai Azarine cosmetic hydrasoothe suncreen gel spf 45+++,Shopee,5,Azarine Hydrashoote Sunscreen Gel,45,dewasa muda,Jangka Pendek,recommend,Medium Light,Warm
Bilapr,Dry,2024-08-21,"Beberapa kali repurchase. Cukup untuk menahan panas Surabaya, tetapi tidak cukup menahan panasnya Taiwan hehe. Masih bikin gosong meskipun sudah reapply. Untuk kulit kering ini sangat cocok, tidak bikin greasy karena tekstur gel",Shopee,5,Azarine Hydrashoote Sunscreen Gel,67,dewasa muda,Jangka Panjang,recommend,Light,Neutral
Shafanaila17_,Combination,2024-08-21,"Worth it banget, tekstur gel, ringan dan mudah sekali menyerap. Tidak whitecast, harga kantong pelajar, packaging bagus dan simpel. Cocok untuk kulit normal, berminyak, kombinasi, dan acne prone skin / kulit berjerawat. Melembabkan serta menenangkan kulit dan melindungi kulit dari pengaruh buruk sinar matahari.",Shopee,5,Azarine Hydrashoote Sunscreen Gel,67,dewasa muda,Jangka Pendek,recommend,Light,Neutral
RegitaApriliani,Combination,2024-08-23,"Sunscreen ini bener-bener ringan banget ga, cepet merasakan juga gada white cast sama sekali,ga bikin perih dimata juga dari segi harga juga cukup affordable buat anak-anak sekolahan. Jadi sunscreen ini cocok banget buah anak sekolahan",Shopee,5,Azarine Hydrashoote Sunscreen Gel,71,remaja,Jangka Pendek,recommend,Medium Light,Neutral
Maxwell94,Combination,2024-08-23,"Awalnya enak. Cepat meresap, gak ada bau yang aneh² dan proteksinya cukup ok. Tapi lama kelamaan entah kenapa muka tuh jadi berminyak banget dan kusam! Jarang jarang saya pakai chemical sunscreen itu sampai kusam di muka. Awalnya saya kira karena polusi aja tapi ternyata karena sunscreen ini. Sayang banget padahal teksturnya super nyaman buat oily combination skin",Shopee,3,Azarine Hydrashoote Sunscreen Gel,71,dewasa matang,Jangka Pendek,not recommend,Medium Dark,Warm
devinadkh,Oily,2024-08-24,"Dia teksturnya heavy gitu ya dan no whitecast jadi gada efek tone up nya samsek, ini tipe yang bikin gerah klo buat touch up siang siang kalo pagi mah aman saja, ini sunscreen kecintaanku sejak SMA emang dia sebagus itu sih bisa membantu mudarin bekas jerawat juga top bgt dah",Indomaret,5,Azarine Hydrashoote Sunscreen Gel,71,dewasa muda,Jangka Menengah,recommend,Medium Light,Cool
teetanium,Oily,2024-08-25,"Untuk aku yang oily skin, pake sunscreen azarine hydrasoothe tuh paling cocok! Gak bikin makin berminyak dan cepet banget menyerap ke kulitku. Secinta itu aku sama sunscreen ini, entah udah berapa botol yang aku pake.",Shopee,5,Azarine Hydrashoote Sunscreen Gel,53,dewasa muda,Jangka Panjang,recommend,Medium,Neutral
jjkeukeu,Combination,2024-08-26,"Dari teksturnya aku suka, pas di apply ada sensasi coolingnya gitu dan cukup nahan minyak diwajah. Tapi entah kenapa, baru-baru ini pas aku repurchase yang ke sekian kalinya kalo telat reapply tuh jadi perih dimata dan bikin kusam juga. Mungkin reformulasi kali ya, entahlah, tapi yang jelas buat wajah yg jerawatan dan tipkul kombi bagus kok",Shopee,5,Azarine Hydrashoote Sunscreen Gel,60,dewasa muda,Jangka Menengah,recommend,Medium Light,Neutral
Chickennugget_111,Combination,2024-08-26,"sunscreen gel yang gabikin gerah dikulit akuuuu gaada wanginya, ringan dan nahan minyak dikulit aku,harganya juga ramah untuk kantong pelajar gabikin boncos jugaaa,oiya kalau mau lebih nampol cegah sinar matahari sering"" reaplly yaaaluv deehhhhhhhhh",Shopee,5,Azarine Hydrashoote Sunscreen Gel,60,remaja,Jangka Pendek,recommend,Medium,Neutral
najwaaulia_18,Oily,2024-08-28,"beli ini pas lagi hype banget sunscreen ini, udah repurchase 2x. teksturnya ringan baget gk whitecast dan cepet nyerap ke kulit. tapi setelah pake ini tuh berasa kulit jadi kusam setelah tau ternyata ini termasuk chemical sunscreen yang memang cara kerjanya menyerap panas uv",Shopee,3,Azarine Hydrashoote Sunscreen Gel,68,dewasa muda,Jangka Menengah,not recommend,Medium,Neutral
aqillahastri,Combination,2024-08-28,"Sunscreen ini tidak berbau, dan teksturnya itu seperti gel yang agak padat, ketika dituang ke tangan dia gel yg stiff gitu bukan yang cair ngalir. Walaupun teksturnya seperti gel, sepengalan aku yang pakai, susnscreen ini terasa agak berat diwajah, habis dipakai itu terasa gerah dan sumuk. Aman dari whitecast dan dikulitku sepertinya tidak bikin kucel. Dengan rangkaian skincareku dia ga peeling sih. Menurutku produk ini bagus, tapi level viralnya melebihi kualitasnya sih.",Shopee,4,Azarine Hydrashoote Sunscreen Gel,68,dewasa muda,Jangka Pendek,recommend,Medium Dark,Warm
shopiaardhanaa,Combination,2024-08-30,awalnya fomo HAHAHAHA!! tapi sempet takut juga pake ini karena mukamu sensitive dan banyak jerawat + bekasnya juga but a long story short dah pake ini selama more than 3 years mukaku jadi allhamdulilah membaik kirain bakalan melindungi dari matahari doang terrnyata membantu merawat acne ku juga,Shopee,5,Azarine Hydrashoote Sunscreen Gel,74,dewasa muda,Jangka Panjang,recommend,Medium,Neutral
adilla04,Oily,2024-08-31,"ini udah botol ke 4 aku pake sunscreen ini. teksturnya gel jd cocok bgt sama kulit aku. sesuai namanya hydrasooth memang sangat melembabkan. sampe2 tiap pagi skincare routine ku akhirnya berkurang. jadi cuman pake toner sama sunscreen doang. bakal repurchase lagi sih, tp skrg lagi coba yg warna biru krn spf nya lebih tinggi dan ada kandungan ceramide nya juga. recommended!",Matahari,5,Azarine Hydrashoote Sunscreen Gel,59,dewasa muda,Jangka Panjang,recommend,Medium,Neutral
atikahsaidah29,Dry,2024-09-01,"awal awal cocok buat dikulit aku yg kering tp lama2 kerasa ga enak dan jadi bruntusan, tp kalo lg kepepet diluar lupa bw ss, varian ini gampng bgt di cari store offline . dan menurutku ini lebih cocok buat kulit normal to oily.",Shopee,3,Azarine Hydrashoote Sunscreen Gel,85,dewasa muda,Jangka Pendek,recommend,Medium,Neutral
Heidista,Combination,2024-09-01,"Setelah cocok dgn sunscreen azarine yg spf 50 serum vit C, lalu coba eksplor yang ini. Ini kemasan besarnya tinggi ya banyak (50ml) dgn harga yg sama yang spf 50 vit C (40ml). Bedanya ini finishnya lebih ke matte dan gel. Ini cocok buat oily, kl yg oren kan lebih ke dewy. Suka sama semua sunskrin azarine, karena dia ga white cast, smooth dan ga ada fragnance.",Shopee,5,Azarine Hydrashoote Sunscreen Gel,85,dewasa matang,Jangka Pendek,recommend,Light,Warm
chevonne25,Oily,2024-09-02,"it's a chemical sunscreen ya guys! secara keseluruhan tidak ada keluhan dalam menggunakan sunscreen ini pokoknya GOOD! gasalah sunscreen ini pernah menjadi sunscreen viral sampai susah nyarinya pada saat itu. okee, teksturnya gel-creamy ketika dibalurkan di wajah rasanya seperti menggunakan gel. ketika digunakan juga rasanya ringan, tidak ada baunya, mudah dibalurkan. ketika muka lagi merah2 pakai susncreen ini lumayan meredakan kemerahannya. ketika diaplikasikan di wajah perlu waktu untuk menyerap setelah itu jadi matte dikulit. tapi karena ini chemical sunscreen, diwajah oily akan menghasilkan minyak lebih banyak setelah beberapa jam sehingga lebih mudah untuk muncul komedo. mungkin untuk yang memiliki dryskin agak kurang cocok karena kurang melembapkan (bisa pakai moisturizer dulu). oh yaaa.. ini tuh ga waterproof dan sweat resistant, sehingga harus di re-apply setiap 2-4 jam sekali supaya ga gosong ya ges. setelah menggunakan sunscreen ini pokoknya kek pakai moisturizer aja gaada yang namanya whitecast, namanya juga karena chemical sunscreen. overall aku suka pakai ini karena kalau lagi breakout ini sunscreen teringan yang aku punya. jadi walaupun agak love-hate tapi dia tetap harus ada di meja skincare aku sebagai penolong ketika lagi breakout. oke, untuk hal yang aku kurang suka dari sunscreen ini, kalau makeup bisa pilling, engga makeup pun easily untuk pilling. terkadang juga karena kurang melembapkan maka dry patches ketika makeup ataupun ga makeup akan lebih terlihat. lagian bisa diakali kokkk untuk pakai balm stick dibagian dry parches, untuk pillingnya blm bisa aku temukan tips n tricknya.thankyou!!!",Shopee,4,Azarine Hydrashoote Sunscreen Gel,65,dewasa muda,Jangka Pendek,recommend,Light,Cool
isazarine,Combination,2024-09-02,"teksturnya gel putih bening gitu, setelah diaplikasiin ke wajah gak lengket dan gak bikin sumuk. gampang bangeg diblendnya. ditimpa make up pun dia gak pelling. ohiya, dia juga bikin lembab wajah. untuk wajah berjerawat aman bgt. luvv pokonyaa",Watson,4,Azarine Hydrashoote Sunscreen Gel,65,dewasa muda,Jangka Pendek,recommend,Medium,Neutral
diahry12_,Oily,2024-09-03,"Sunscreen azarine yang katanya cocok untuk all skin type termasuk tipe kulit berminyak dan acne prone, ga ada white case, hasilnya finish natural. Itu yang katanya tapi nyatanya di aku yang tipe kulit berminyak dan acne prone bener-bener cocok❤️ karena dia teksturnya gel jadi gampang di blend dan mudah menyerap. Pas dipake tuh kaya ada sensasi dingin seger gt, udh gitu beneran no white case dan hasilnya bener"" natural. Oiyaa sunscreen ini di aku juga ga bikin muka jadi kusam, soalnya ada beberapa sunscreen yang bikin muka aku jadi kusam, terus juga sunscreen ini ringan bgt di muka ❤️",Shopee,5,Azarine Hydrashoote Sunscreen Gel,68,dewasa muda,Jangka Panjang,recommend,Medium,Neutral
salsabiladhea,Dry,2024-09-03,"Nyoba pake ini gara gara fomo semua orang beli ini wkwkwkw, ternyata di aku kulit yg kering kurang cocok, bikin agak kusam dan kurang tahan lama, seharusnya kalau kulit kering pake yang physical sunscreen, jadi yaaaa biasa aja sih ini",Shopee,3,Azarine Hydrashoote Sunscreen Gel,68,dewasa muda,Jangka Pendek,recommend,Light,Cool
kireyjung,Combination,2024-09-05,"Penasaran sama SS dari Azarine ini, sampe akhirnya checkout. Tapi pas apply di wajaku. Dia cepet banget menyerap, ada sedikit tone up tapi bikin crack gtu, kayak wajahku jadi kaku. Sempet was was apa kulitku lagi beradaptasi sampe akhirnya aku pake 1bulanan lebih. Tapi ternyata rasanya ttep sama kayak gitu dan bikin ngga nyaman. Mungkin, ngga cocok di kulitku yg combi to dry, akhirnya aku kasih ke temenku deh.",Shopee,3,Azarine Hydrashoote Sunscreen Gel,50,dewasa muda,Jangka Menengah,not recommend,Light,Cool
dianpramesti30,Dry,2024-09-05,"Bagus, mudah diaplikasikan, gak whitecast juga, mudah meresap, gak pedih dimata tapi sayang aku gak cocok, bikin mukaku bruntusan setelah beberapa hari pake. Tapi pas dipake suamiku malah cocok. Yaa emang cocok-cocokan aja sih.",Shopee,4,Azarine Hydrashoote Sunscreen Gel,50,dewasa muda,Jangka Pendek,recommend,Medium Light,Warm
shasafaz,Combination,2024-09-07,"udah dari sma aku pake ini, sekarang uda mau lulus kuliah... bagus banget, ga lengket, cepet ngeresap, dannnn yg pasti no whitecast yaaa.... overall selama aku pake ini, ga kenapa napa sii yaa, tp sekarang aku uda gantii kee azarine yg biruuu mungielll. itu juga nampol, reviewnya ada di setelah ini yaa wkwkwkw",Shopee,5,Azarine Hydrashoote Sunscreen Gel,50,dewasa muda,Jangka Panjang,recommend,Medium Light,Neutral
